YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.0000000	0.6920601	0.2594330	0.6878829	0.5323668	0.4852425	0.5356386	0.8695471	0.7026622	0.2712240
0.9999998	0.0000000	0.1155166	1.0000000	0.4630055	0.5590897	0.4332861	0.0241668	0.6080080	0.3245647
0.9998139	0.0038096	0.0000000	1.0000000	0.4630055	0.5590897	0.4332861	0.0241674	0.6080080	0.3245647
0.3012413	0.8940155	0.4282918	0.0000000	0.4629967	0.5590989	0.4332918	0.0354924	0.6080138	0.3245679
0.6301893	0.3853842	0.1595336	0.9999999	0.0000000	0.2828956	1.0000000	0.0296128	0.9118990	0.1457037
0.3410104	0.7947598	0.3187558	0.9999999	0.4630007	0.0000000	0.4332914	0.0303401	0.9769659	0.0807064
0.8416670	0.1988799	0.1118739	0.9999999	0.0023569	1.0000000	0.0000000	0.0280244	0.2677921	0.6110954
0.8257808	0.2124794	0.1155174	1.0000000	0.4629762	0.5591195	0.4332869	0.0000003	0.6080346	0.3245675
0.8257783	0.2124783	0.1155167	0.9999999	0.4630055	0.5590897	0.4332862	0.0281130	0.0000000	0.3245647
0.2788140	0.9605082	0.6399530	0.9999998	0.4629967	0.5590989	0.4332917	0.0342071	1.0000000	0.0000000
