"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.8561259	0.9312315	0.9061204	0.9384690	0.0704183	0.1421285	0.9579155	0.3040896	1.0402122	1.0959446
50	0.8580834	0.9860393	0.9723214	0.9444507	0.0535031	0.0908332	0.9904482	0.2396388	1.0762195	1.1051306
100	0.8408433	0.9066264	0.9331255	0.9812601	0.0454941	0.0391086	0.7887907	0.0769378	1.0142578	1.0655904
150	0.7893055	0.9414008	0.9391380	1.0135240	0.0168507	0.0266294	1.0114105	0.0571222	1.0039512	1.0045747
200	0.7261740	0.9882678	0.9534213	1.0050751	0.0200955	0.0275996	0.9870178	0.0655842	1.1298329	1.0433057
250	0.7300371	1.0468611	0.9486083	0.9960030	0.0141865	0.0605815	1.0050447	0.0427255	1.1074996	1.0215675
300	0.6902628	0.9878886	1.0069298	1.1930147	0.0231652	0.0313314	0.9459184	0.0551587	0.9959108	1.0384593
350	0.7698618	1.0482784	0.9842124	1.0730673	0.0126716	0.0295619	1.0317018	0.0344806	0.9780057	0.9838913
400	0.8360705	1.0830627	0.9509005	1.0660321	0.0293804	0.0160081	0.9668695	0.0530611	0.9977488	0.9367736
450	0.9296969	0.9732699	0.9399400	1.0756561	0.0113124	0.0340863	0.9550279	0.0507485	1.0239371	0.9928064
500	0.8218728	0.9130889	0.9152369	0.9802487	0.0067373	0.0143259	1.0791299	0.0565656	1.0982542	1.0672051
550	0.7260980	0.9918576	0.9163736	1.0529308	0.0071886	0.0348231	1.0359299	0.1343057	1.0907374	0.9813230
600	0.7504448	0.9390772	0.8855863	1.0731940	0.0243716	0.1037987	0.9798144	0.2547619	1.0952180	0.9877414
650	0.8427050	0.9541081	0.8916717	1.0014027	0.0387218	0.1201533	0.9103507	0.2777376	0.9472162	0.8694748
700	0.8643414	0.8753017	0.8965229	1.0387242	0.0172140	0.1168974	0.7944567	0.3356087	1.0182234	0.9213887
750	0.8826925	1.0349950	0.9121279	0.9961911	0.0185578	0.1100873	0.8579760	0.2672486	1.0584707	1.0667273
800	0.8367388	1.0929419	0.9676175	1.0723119	0.0211777	0.1282642	0.8823023	0.3268088	0.9567547	1.0565413
850	0.8615588	1.0236999	1.0124198	1.0991341	0.0544880	0.1150665	0.9578593	0.3355342	0.9670253	0.9574726
900	0.9041860	0.9067071	1.1005337	0.9964204	0.0535203	0.1175389	0.8369319	0.3586132	0.9964970	1.0467186
950	0.9545992	1.0226904	1.1065035	0.9448622	0.0567693	0.1081851	0.8569765	0.3158098	0.9227323	0.9825600
1000	0.9612893	0.9341335	0.9944127	0.9373342	0.0460581	0.1172245	0.8270040	0.4617962	0.8384444	0.9313887

0	0.8561259	0.9312315	0.9061204	0.9384690	0.0704183	0.1421285	0.9579155	0.3040896	1.0402122	1.0959446
50	0.7561682	1.0055191	0.9216560	0.9120996	0.2855264	0.1383045	0.8846554	0.1579842	1.1255210	1.0366425
100	0.6653778	1.0341412	0.8881767	0.9362744	0.4576686	0.1698897	1.0258743	0.0442566	1.0827765	1.0382453
