YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.3043157	0.1913005	0.3670033	0.5893638	0.6501013	0.1508385	0.7205831	0.3276451	0.6000514	0.6853666
0.5687099	0.1178533	0.3168599	0.5968282	0.6587563	0.2354460	0.6295265	0.3977088	0.6206942	0.8215659
0.5254344	0.1602428	0.1580288	0.3961182	0.4759010	0.1650073	0.6724942	0.3200437	0.5924116	0.7388358
0.5473826	0.2286417	0.0813544	0.3395873	0.6652567	0.1381325	0.7749253	0.1872526	0.5515541	0.7712116
0.6648440	0.7002640	0.4529964	0.7754847	0.3241407	0.2082219	0.5726635	0.4174464	0.5049732	0.7832641
0.4228811	0.1439778	0.2327352	0.4088591	0.7264968	0.0809449	0.7215250	0.4019103	0.6397302	0.6791206
0.7622309	0.7094889	0.4737848	0.7414495	0.0371452	0.5450010	0.3607065	0.2811024	0.5064245	0.7433054
0.4445576	0.1395916	0.2189695	0.4307202	0.7993687	0.1670361	0.8185028	0.2181790	0.6845432	0.7517624
0.5257860	0.2135685	0.2941442	0.5807184	0.6622487	0.1663545	0.7195859	0.0519285	0.2736495	0.7267715
0.4979456	0.1621897	0.2991181	0.4299136	0.6484067	0.1080662	0.9454829	0.0221467	0.2614826	0.3487792
