YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.1454121	0.9995047	0.3623409	0.2908668	0.2750737	0.3129345	0.2290053	0.9471159	0.5995198	0.3840330
0.2146075	0.9852909	0.1360947	0.6290024	0.4042627	0.8550501	0.0068774	0.6546697	0.9192384	1.0000000
0.2200876	0.9698233	0.4007516	0.1752486	0.0124259	0.1447329	0.2406712	0.5165578	0.9597581	1.0000000
0.2100082	0.9995053	0.3196336	0.3223118	0.3123086	0.2443055	0.1984104	0.5068676	0.7648977	0.5397108
0.2228094	0.9620195	0.1752550	0.5130717	0.4663300	0.6071193	0.1697996	0.8524058	0.7662992	0.4016964
0.2206972	0.9681310	0.2524205	0.3576098	0.0407094	0.3871437	0.2367850	0.5804582	0.9646003	1.0000000
0.2101291	0.9991794	0.3190745	0.3227034	0.6406541	0.3473485	0.2365628	0.5850927	0.9663404	0.8837398
0.3334664	0.6619167	0.0425008	0.6920708	0.5904745	0.8039879	0.0059145	0.7147845	0.8776321	0.8110985
0.2309819	0.7658026	0.0718307	0.6369968	0.3884304	0.8768147	0.0379409	0.4954338	0.9078309	1.0000000
0.0965095	0.9989684	0.3000950	0.2204756	0.3050235	0.2418802	0.2321537	0.7184245	0.8750417	0.7996916
