YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0000000	0.5634416	0.2800633	0.5686845	0.4518577	0.5107642	0.7136391	0.0240267	0.4643309	0.4260159
0.0154222	0.0000000	0.1853432	0.7240255	0.2841690	0.5528011	0.4606549	0.0113839	0.0266403	0.4156449
0.8594842	0.4513612	0.0000000	0.7552581	0.7049442	0.5593234	0.5714539	0.0442522	0.3907830	0.4559452
0.6019721	0.2534776	0.8747188	0.0000000	0.5375488	0.4786384	0.7988760	0.0098910	0.1684758	0.5928665
0.6614154	0.3492815	0.2637677	0.5673789	0.0000000	0.5682313	0.6051358	0.0116827	0.3474989	0.4583687
0.8980893	0.3897638	0.1323262	0.6900571	0.8445112	0.0000000	0.5249441	0.0371324	0.2065637	0.8530870
0.7585882	0.2776799	0.4411281	0.5560146	0.2671286	0.8566365	0.0000000	0.0090166	0.3180372	0.2340479
0.6855105	0.3262315	0.3280558	0.6129372	0.3194671	0.6208580	0.6173610	0.0000000	0.2389712	0.3395971
0.7132027	0.4540760	0.1089101	0.8193062	0.3205536	0.4852642	0.5225061	0.0077758	0.0000000	0.3202119
0.7618713	0.4540871	0.1883271	0.4592909	0.3672570	0.5206893	0.6944166	0.0099907	0.3171273	0.0000000
