YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0508774	0.1676845	0.2211221	0.4630342	0.7264620	0.6308390	0.6246024	0.4414997	0.5091598	0.8519841
0.1366196	0.0495377	0.2558228	0.3203729	0.6462587	0.7271740	0.5482195	0.5276488	0.8252584	0.9534341
0.0886081	0.0402973	0.0714460	0.4668918	0.7069418	0.6891354	0.4619382	0.4740771	0.6649626	0.8556573
0.0825917	0.0630694	0.0343756	0.1335717	0.7822344	0.7935020	0.5174639	0.5026377	0.6511173	0.8897247
0.2877896	0.1435612	0.2847964	0.5041878	0.2559492	0.8853133	0.5226397	0.5978898	0.6441960	0.7627999
0.1207031	0.0533409	0.2007765	0.3678841	0.4861747	0.4228367	0.4951208	0.4798620	0.6744583	0.8194575
0.1442657	0.1154148	0.1637326	0.2692876	0.6436172	0.5996050	0.2220964	0.5575198	0.6567679	0.7195378
0.1055950	0.0446302	0.1866523	0.4521093	0.6561649	0.7372601	0.5828417	0.1528380	0.5653157	0.7338851
0.1265123	0.0720447	0.1848629	0.4038768	0.7588360	0.7955728	0.6298493	0.2317526	0.3262253	0.9978205
0.1654376	0.0826452	0.1145380	0.4041198	0.5716898	0.7044674	0.6511369	0.0568959	0.1241510	0.4282155
