YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0383392	0.9999519	0.0145072	0.1001965	0.2574395	0.9994252	0.0523791	0.0552207	0.8692724	1.0000000
0.2365434	0.4995960	0.0177840	0.1760703	0.3372745	0.9993532	0.0549645	0.0552292	0.8692724	1.0000000
0.0765899	0.9999520	0.0072531	0.1001116	0.2573635	0.9995477	0.0475836	0.0552089	0.8692724	1.0000000
0.0766640	0.9999985	0.0139671	0.0500955	0.2574330	0.9994345	0.0519862	0.0552197	0.8692724	1.0000000
0.0244199	0.9999996	0.0139288	0.0375439	0.1287153	0.9994366	0.0519469	0.0552195	0.8692724	1.0000000
0.8337084	0.6995982	0.2256205	0.6325570	0.5503486	0.4843632	0.2589870	0.2039124	0.8692724	1.0000000
0.0763273	0.9999527	0.0145006	0.0998412	0.2571320	0.9998999	0.0261884	0.0551921	0.8692724	1.0000000
0.0766708	0.9999518	0.0145072	0.1001979	0.2574408	0.9994229	0.0524638	0.0276108	0.8692724	1.0000000
0.0766697	0.9999519	0.0145072	0.1001966	0.2574395	0.9994251	0.0523793	0.0551919	0.4346381	1.0000000
0.0766694	0.9999519	0.0145072	0.1001964	0.2574394	0.9994252	0.0523791	0.0551975	0.6603900	0.5000001
