YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.4069340	0.5209031	0.3542427	0.5889804	0.4466505	0.8212838	0.2616483	0.4391419	0.8509893	0.6728236
0.3816759	0.2652104	0.3318816	0.6344376	0.4226434	0.6490205	0.1916291	0.3597069	0.6770713	0.8458511
0.7423469	0.6307436	0.1700259	0.7209417	0.3964495	0.7413113	0.3464240	0.4338128	0.7451996	0.9095896
0.5763950	0.4788499	0.1840942	0.3388222	0.3709822	0.7324407	0.2130981	0.4294218	0.8589037	0.7283856
0.7249139	0.5207808	0.2606968	0.6156990	0.2078355	0.7258969	0.1925350	0.3404155	0.7075551	0.7466480
0.7714215	0.4794991	0.3584070	0.8135253	0.2374283	0.2732293	0.2500523	0.4610069	0.6200377	0.8100115
0.7496433	0.5848945	0.4064215	0.6192235	0.3659078	0.8883480	0.1016041	0.3394288	0.6630840	0.9258270
0.6396915	0.6449549	0.2702381	0.7063402	0.4301902	0.7882068	0.4935047	0.2217021	0.7068518	0.8158906
0.7823015	0.6557751	0.2710018	0.6058077	0.3953285	0.5496389	0.2853548	0.2396026	0.3290920	0.8100120
0.8256286	0.5971952	0.2704687	0.6105542	0.3688766	0.6545340	0.2569310	0.2818816	0.3976671	0.3289527
