YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.4171161	0.3760221	0.8264439	0.6290916	0.7359965	0.1574902	0.1296518	1.0308292	1.0291573	1.1026002
1.0136325	0.2392315	0.7904833	0.6038669	0.7396188	0.2104176	0.1187128	1.1040115	0.8824840	1.0441200
1.0737208	0.2828831	0.3521079	0.6070454	0.7656075	0.1825987	0.0799861	1.0074721	1.0038192	1.0657770
0.7859478	0.4493477	0.7469530	0.3902291	0.4926716	0.2111971	0.0541484	0.9352397	0.5240015	0.9515111
0.5179071	0.5692937	0.8800002	0.7661533	0.4160184	0.1098257	0.1470593	0.9746623	0.9562443	0.8434677
0.7355954	0.4839367	0.7231003	0.5261231	0.6290145	0.0951043	0.1039136	1.0474207	0.8453350	1.1302202
0.5720714	0.5232556	0.7585488	0.6450740	0.7621697	0.0889551	0.0540946	0.9380108	0.9825521	0.9849633
0.6096412	0.5561584	0.7650290	0.4688562	0.7182468	0.3050819	0.1933510	0.4779405	0.8183348	1.0145173
0.7418155	0.3573786	0.6775228	0.5511820	0.7015092	0.1732383	0.1063908	0.9509911	0.5131250	0.9541999
0.4105685	0.5422666	0.7566334	0.6477700	0.7158110	0.1658350	0.1639763	1.0421855	0.9004049	0.4758539
