YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.3669206	0.9986992	0.9972460	0.0733411	0.1176165	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.3678709	0.4993496	0.9972460	0.0733410	0.1176163	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.7338251	0.9987379	0.4986239	0.0733415	0.1176182	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.7338089	0.9986991	0.9998607	0.0362367	0.0897522	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.7338089	0.9986992	0.9974483	0.0720263	0.0583202	0.1980673	1.0000000	1.0000000	0.1056248	1.0000000
0.7338090	0.9986994	0.9908835	0.0975519	0.2765113	0.0990336	1.0000000	1.0000000	0.1056248	1.0000000
0.7338089	0.9986992	0.9973633	0.0725835	0.0945027	0.8535450	0.5000000	1.0000000	0.1056248	1.0000000
0.7329401	0.9967380	0.9973020	0.0733410	0.1176162	0.1980673	1.0000000	0.5001188	0.1056248	1.0000000
0.7342888	0.9997882	0.9972460	0.0733411	0.1176168	0.1980673	1.0000000	1.0000000	0.0528166	1.0000000
0.7318057	0.9941680	0.9972460	0.0733410	0.1176163	0.1980673	1.0000000	1.0000000	0.1881984	0.5000000
