YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.2661010	0.0373551	0.3201410	0.1053661	0.2608074	0.5624148	0.1084394	0.0000909	0.8496721	0.9788665
0.1145425	0.3779828	0.5701740	0.1404197	0.5128158	1.0838878	0.4319128	0.0377953	0.7754858	0.9100079
0.1563981	0.0002473	0.1404202	0.1704832	0.1316145	0.3939978	0.0009337	0.0499240	0.6088541	0.9691052
0.1635268	0.2960280	0.0563806	0.1871069	0.2590365	0.5837078	0.6355641	0.1438617	1.1248365	1.0190543
0.0393560	0.2029700	0.0017384	0.0638337	0.3068773	0.1178121	0.0001538	0.0139490	0.9460914	0.9731170
0.6020538	0.2709621	0.3924733	0.2129754	0.2278885	0.5619749	0.4080352	0.0128398	0.9811530	1.0554772
0.1717517	0.0106083	0.2424949	0.1244875	0.1321621	0.3675993	0.0001025	0.0416672	0.8062576	1.0280364
0.0455687	0.1556064	0.3863129	0.0581149	0.4914952	0.0000740	0.0005469	0.0049563	0.9811952	1.0066595
0.5823945	0.2438709	0.0505293	0.1788455	0.2611213	0.7201261	0.1330557	0.4970844	0.6224229	0.9964705
0.1428553	0.0018307	0.1055765	0.0791670	0.3435308	0.5410539	0.3049638	0.0101784	1.0400256	0.9383140
