YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0076312	0.0152724	0.0255222	0.7322652	0.4771064	0.8565850	1.0862864	0.9762438	0.8911793	0.6140087
0.0062644	0.0472066	0.0846736	0.6029605	0.1079310	0.7832323	0.5802125	1.0409105	0.4003407	0.2219682
0.9279808	0.6823180	1.1450425	0.0151527	0.6813652	0.9615176	1.0850771	1.1174540	0.0062894	0.0317691
0.1199788	0.2033472	0.0372371	0.6464638	0.5384616	0.9558486	0.9501257	0.9502717	0.5890392	0.4019753
0.8386790	0.5364031	0.9922327	0.0082042	0.3742911	0.9162123	0.7570681	0.4933649	0.2113141	0.0628413
0.4270102	0.3792344	0.1025804	0.5216247	0.3634272	0.8622980	0.8075710	1.1251255	1.0008557	0.5593376
0.0538119	0.1352856	0.0636329	0.5207780	0.5093885	1.0094892	1.0083645	0.9844808	0.0000252	0.0032446
0.1801889	0.1290042	0.3124247	0.2319429	0.4936423	0.8479019	0.8623557	1.0839819	0.4267028	0.1570470
0.3877829	0.3107951	0.0173436	0.9491972	0.0828180	0.6756541	0.5864581	1.0230606	0.0014588	0.0022423
0.2537976	0.1643740	0.2928186	0.2431253	0.4062694	0.8435036	0.7937273	1.0199316	0.0207014	0.0993346
