YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0000000	0.5936823	0.4645926	0.3526926	0.5042914	0.1509352	0.3441304	0.4838214	0.4705588	0.0722556
1.0000000	0.0000000	0.3595392	0.2807244	0.5723485	0.2492837	0.4673891	0.0147855	0.0773812	0.3879541
0.0873198	0.9999998	0.0000000	0.6355869	0.9946300	0.1518544	0.3459189	0.8033523	0.7571320	0.0744163
0.0873568	0.9999261	0.0248452	0.0000002	0.9959872	0.0974820	0.0188626	0.8028875	0.7569306	0.0180337
0.0982154	0.8193392	0.3477210	0.2743007	0.0000000	0.1129248	0.2460837	0.7236853	0.6560008	0.0270696
0.1120735	0.6715606	0.5069661	0.3803519	0.4785005	0.0000042	0.3254904	0.5958824	0.5428132	0.0077432
0.1120560	0.6718195	0.5066259	0.3802085	0.4781666	0.0974808	0.0000033	0.5959532	0.5429627	0.0180266
0.1104865	0.6849688	0.4869216	0.3650962	0.4294606	0.3446261	0.5498065	0.0000000	0.5546156	0.7190248
0.0990741	0.8067759	0.3585748	0.2800844	0.5731797	0.2499373	0.4680501	0.0112488	0.0000000	0.3902706
0.1120034	0.6721630	0.5061678	0.3798536	0.4767826	0.1409272	0.3251143	0.5965282	0.5433423	0.0000056
