YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.0000006	0.6684759	0.9998218	0.9882450	0.0803853	0.4911784	0.9097337	0.1237961	0.2372268	0.5306500
1.0000000	0.0000000	0.9999980	0.1782948	0.6199366	0.7052420	0.3895028	0.5665686	0.8762088	0.1047969
1.0000000	0.6373689	0.0000001	0.9999145	0.0309621	0.4687797	0.9901826	0.0364081	0.0011824	0.6061038
1.0000000	0.6685067	0.9998219	0.0000032	0.0804017	0.4911920	0.9097084	0.1238084	0.2372397	0.5306004
1.0000000	0.6684861	0.9998218	0.9882423	0.0000048	0.4911833	0.9097245	0.1238002	0.2372310	0.5306323
1.0000000	0.6685108	0.9998219	0.9882365	0.0804039	0.0000023	0.9097051	0.1238102	0.2372415	0.5305944
1.0000000	0.9431153	0.9998660	0.9822410	0.0929186	0.9999268	0.0000010	0.1373575	0.2578323	0.0727971
1.0000000	0.6333033	0.9997698	1.0000000	0.0269668	0.4660773	0.9999994	0.0000002	0.2197070	0.6152548
1.0000000	0.6368891	0.0252445	0.9999151	0.0309540	0.4687027	0.9902067	0.0364025	0.0000003	0.6064884
1.0000000	0.9999881	0.9998659	0.9822436	0.0929041	0.4962746	0.8924524	0.1373079	0.2577545	0.0000039
