"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	0.1625709	0.0669942	0.2074011	0.3596620	0.6233584	0.6456119	0.5053936	0.5009871	0.5602338	0.6860741
50	0.1546430	0.0925382	0.0813132	0.2723765	0.6700467	0.6763752	0.4429129	0.5026135	0.6554125	0.7438855
100	0.1033687	0.0694840	0.1980840	0.3120860	0.6372415	0.6906621	0.5917739	0.4669526	0.6394316	0.5213637
150	0.1234799	0.0743860	0.2082961	0.3901188	0.8783354	0.7332441	0.5815548	0.5457145	0.3557352	0.4076599
200	0.1266025	0.1033363	0.1493334	0.3073385	0.8902916	0.7781594	0.6134087	0.3282476	0.1933901	0.4345066
250	0.1020881	0.0329547	0.1155169	0.2762224	0.8777710	0.6638070	0.5809115	0.2006031	0.1634723	0.3741524
300	0.1519942	0.0623824	0.0914495	0.4269783	0.9009846	0.6014976	0.6043483	0.1906624	0.0820185	0.3486749
350	0.1144800	0.0695452	0.1588692	0.3283850	0.7563341	0.6713127	0.5518644	0.0561797	0.1467143	0.4867922
400	0.1255103	0.0381718	0.1155156	0.3545225	0.7627857	0.7520360	0.8151879	0.0370046	0.1166548	0.3763144
450	0.0738183	0.0540103	0.1727360	0.3356231	0.7408514	1.0273456	0.7259358	0.0492292	0.1115115	0.2665302
500	0.1254793	0.0718673	0.3154418	0.3693413	0.7089579	0.7487409	0.6570279	0.0458170	0.0572136	0.3282798
550	0.1698438	0.0713344	0.1991436	0.3984619	0.6280814	0.6803566	0.7611188	0.0699154	0.0765737	0.4960091
600	0.1279332	0.0777502	0.2231614	0.3385236	0.7061485	0.7796899	0.5774646	0.0341405	0.1295795	0.5670324
650	0.1425913	0.0712995	0.1584026	0.3385024	0.7260228	0.8710965	0.6996672	0.0625341	0.2838755	0.7456199
700	0.1690683	0.0721167	0.1952705	0.3665831	0.7970467	0.9162136	0.6190998	0.1106141	0.3164246	0.7619783
750	0.1733246	0.0512957	0.1321802	0.3611421	0.7630182	0.9292360	0.7075519	0.2017549	0.5451229	1.0183065
800	0.1625436	0.0636592	0.1559954	0.3958908	0.7993137	0.7770381	0.6990433	0.3559485	0.5536052	0.8206787
850	0.1338961	0.0912100	0.2565964	0.3586798	0.8284114	0.7333646	0.5557019	0.4955011	0.7002713	0.8024093
900	0.1532111	0.0768539	0.1572610	0.4313717	0.6676465	0.7115061	0.4184775	0.6361059	0.6903842	0.8331187
950	0.2031394	0.1240896	0.2218611	0.4152629	0.7162269	0.8201976	0.5591279	0.6347496	0.6688784	0.7779703
1000	0.1956597	0.0919729	0.1959745	0.4404136	0.6475563	0.6599717	0.4657944	0.5375564	0.7074090	0.8489710

0	0.1806606	0.1042744	0.1944608	0.3691696	0.6889696	0.7960627	0.6004882	0.5053076	0.7258924	0.7283256
50	0.1690706	0.0721530	0.1532408	0.4524684	0.6273900	0.7118157	0.3225447	0.6282529	0.7959766	0.9025785
100	0.1365408	0.0678614	0.1922720	0.5589323	0.5869139	0.7022786	0.2178204	0.6559073	0.6353664	0.7121125
150	0.0771331	0.1194071	0.3062203	0.6028546	0.7412427	0.5244692	0.2074461	0.6100783	0.7022230	0.6649572
200	0.1283794	0.0607603	0.2754941	0.5863786	0.6460871	0.4864937	0.1970847	0.6838533	0.8016873	0.8288822
250	0.1721948	0.0742448	0.2178720	0.6351540	0.7009098	0.4704266	0.1711156	0.6997742	0.7796780	0.8798173
300	0.1488416	0.0864016	0.2483898	0.5503820	0.7361205	0.5215617	0.1171821	0.7756186	0.8438009	0.9408073
350	0.1414654	0.0669374	0.3453311	0.5556417	0.7890091	0.4606081	0.1401669	0.7938518	0.8251134	0.7292424
400	0.1655973	0.0815616	0.2958829	0.6261012	0.5822022	0.5170772	0.1167474	0.7893623	0.7014273	0.9822116
450	0.1676728	0.1402780	0.3479767	0.6216112	0.6486165	0.4242158	0.1713824	0.6583962	0.6796893	0.8628947
500	0.2153253	0.1420732	0.3193544	0.4114870	0.6866124	0.4392400	0.1006648	0.8386689	0.6618918	0.6956788
550	0.2177815	0.1205970	0.3230432	0.6157375	0.5943258	0.4515232	0.2345159	0.7835041	0.6861363	0.8381972
600	0.2245801	0.1343867	0.3903364	0.4986471	0.5286097	0.4604684	0.4612276	0.5663089	0.5805593	0.7283611
650	0.2464281	0.1858350	0.3008017	0.4328965	0.6685552	0.4697102	0.4761865	0.5737657	0.6386315	0.8217744
700	0.3243163	0.1382727	0.2486581	0.4052190	0.7112880	0.5776906	0.4788334	0.5274203	0.6386702	0.8635908
