"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C

0	0.9932929	0.5319981	0.7950520	0.6945022	0.3090875	0.1359160	0.3215063	0.8938777	0.7296101	1.0000000
50	0.9943712	0.6211739	0.7825198	0.6983124	0.4368583	0.5266108	0.4472060	0.5810955	0.7383448	0.8290569
100	0.9961963	0.6354408	0.7336280	0.6906033	0.6614815	0.6758290	0.6622957	0.4872532	0.8027446	0.7712713
150	0.9971658	0.6268721	0.6730461	0.6574013	0.7971962	0.7734198	0.7712284	0.4495368	0.8641604	0.7517375
200	0.9974313	0.6094600	0.6199400	0.6172121	0.8650283	0.8145725	0.8166986	0.4308108	0.8937275	0.7451343
250	0.9972685	0.5899616	0.5773766	0.5826979	0.8964170	0.8181236	0.8372887	0.4210505	0.9053174	0.7429022
300	0.9968317	0.5717603	0.5449584	0.5562788	0.9095632	0.8056256	0.8472908	0.4161050	0.9096379	0.7421476
350	0.9962130	0.5563587	0.5214316	0.5366788	0.9138247	0.7890198	0.8521925	0.4137180	0.9112288	0.7418926
400	0.9954910	0.5442111	0.5049773	0.5221873	0.9139178	0.7736715	0.8545290	0.4126335	0.9117628	0.7418063
450	0.9947447	0.5351324	0.4937089	0.5114914	0.9122611	0.7613988	0.8555865	0.4121857	0.9118582	0.7417772
500	0.9940446	0.5286041	0.4860521	0.5036690	0.9100995	0.7523064	0.8560223	0.4120377	0.9117664	0.7417673
550	0.9910245	0.4085310	0.5540714	0.4890791	0.8975032	0.4658659	0.7081566	0.7008592	0.9172209	0.9127071
600	0.9814581	0.4119983	0.6453430	0.4627403	0.8595809	0.4338928	0.4930403	0.8060954	0.9285567	0.9704916
650	0.9754080	0.4453288	0.6926521	0.4493389	0.8215900	0.4129802	0.3927457	0.8537108	0.9349682	0.9900250
700	0.9777353	0.4723469	0.7141372	0.4546580	0.7862390	0.3298934	0.3517444	0.8762293	0.9363676	0.9966280
750	0.9824348	0.4882564	0.7245445	0.4713625	0.7305094	0.2434836	0.3342915	0.8866583	0.9344125	0.9988601
800	0.9860336	0.4967741	0.7310482	0.4945200	0.6445497	0.1867103	0.3266670	0.8912648	0.9284164	0.9996147
850	0.9882067	0.5015892	0.7367238	0.5234696	0.5430790	0.1560044	0.3233784	0.8931759	0.9157698	0.9998697
900	0.9894382	0.5049346	0.7429370	0.5572980	0.4511911	0.1409943	0.3220197	0.8939048	0.8934262	0.9999560
950	0.9901668	0.5079626	0.7502118	0.5921176	0.3837003	0.1342997	0.3214976	0.8941462	0.8605937	0.9999851
1000	0.9906633	0.5111764	0.7583399	0.6230016	0.3412025	0.1317941	0.3213215	0.8942005	0.8215888	0.9999950

0	0.9932929	0.5319981	0.7950520	0.6945022	0.3090875	0.1359160	0.3215063	0.8938777	0.7296101	1.0000000
50	0.9946246	0.6525487	0.9074010	0.7877168	0.3019172	0.0930733	0.1006946	0.8938717	0.8343999	1.0000000
100	0.9968091	0.6923410	0.9539671	0.8389261	0.2437087	0.0386780	0.0762252	0.8937982	0.8528932	1.0000000
150	0.9980413	0.7100265	0.9736100	0.8717262	0.1600578	0.0177896	0.0735307	0.8936626	0.8318499	1.0000000
