YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0842716	0.9998732	0.9334992	0.3855168	0.1330376	0.8672681	0.6070953	0.7912399	0.9342063	1.0000000
0.0850701	0.9935952	0.9898109	0.2480495	0.0778259	0.9019197	0.5176577	1.0000000	0.5760277	0.9496285
0.0886499	0.9676039	0.7864324	0.5542349	0.2540453	0.6003544	0.5646787	0.5894343	0.7822842	1.0000000
0.0842687	0.9998977	0.9973071	0.2493325	0.0153876	0.8857353	0.5599901	0.8956093	0.6529182	0.4815585
0.0842670	0.9999108	0.9999999	0.0162344	0.1220764	0.8912540	0.5457284	0.9294280	1.0000000	0.7127114
0.0842655	0.9999227	0.9997949	0.0970271	0.2232933	0.9012845	0.5176577	1.0000000	0.6726399	1.0000000
0.0211386	0.9677467	0.9836986	0.2714196	0.3866824	0.9180224	0.4472095	1.0000000	1.0000000	1.0000000
0.0186751	0.9675175	0.7245092	0.1697026	0.1381151	0.9264326	0.4511882	0.7299713	0.8093172	1.0000000
0.0842769	0.9998316	0.8131051	0.0075530	0.5028052	0.6852719	0.5176577	1.0000000	1.0000000	0.7283656
0.0307277	0.9677522	1.0000000	0.0127496	0.1805246	0.7546566	0.5163262	0.7882042	1.0000000	0.5003176
