YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1806276	0.5616221	0.8698167	0.8979193	0.9086601	0.5563646	0.9610978	0.7120762	0.5165746	0.7435216
0.2312626	0.2804099	0.9268400	0.9322105	0.8483437	0.5470273	1.0400655	0.6833724	0.5040049	0.7171716
0.4654787	0.6771286	0.4101054	0.7188578	0.8278901	0.6586146	1.0344218	0.8167822	0.4348364	0.6118843
0.5032671	0.5632298	0.8172258	0.3097422	0.7473652	0.8777572	0.8815316	0.7308105	0.4760740	0.7170542
0.4484947	0.5737053	0.8594894	0.7801542	0.4384669	0.5872825	0.8321999	0.7664858	0.5268543	0.5933008
0.4300819	0.5801310	0.8677770	1.0832591	1.0439389	0.2668767	0.9945171	0.6023166	0.4785712	0.8237007
0.4456948	0.5707079	0.5553561	0.7289682	0.7790058	0.6666498	0.4642348	0.7645758	0.4533463	0.6893556
0.4114228	0.5564588	0.8455841	0.8000640	0.9196757	0.5730891	0.8639974	0.3136195	0.6012450	0.8387350
0.2894282	0.3391240	0.7970892	0.7541411	1.0085323	0.6230574	0.7697114	0.1999960	0.2863876	0.9837193
0.2883956	0.4072811	0.7278291	0.7997466	0.8101221	0.5477995	0.7349061	0.1596668	0.3385753	0.5630210
