YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0803008	0.7266429	0.0734010	0.2482711	0.6787302	0.1881992	0.4830969	0.5117435	0.6808650	0.8135202
0.2127663	0.3182081	0.0327351	0.1463730	0.7375743	0.1470497	0.7231225	0.2488454	0.5662350	0.7675678
0.2343515	0.8445411	0.0128686	0.1709561	0.5527974	0.1452883	0.4027691	0.7112871	0.6369891	0.5917977
0.1999848	0.7838828	0.0793858	0.1985680	0.7476831	0.1432230	0.4031551	0.6457424	0.5986639	0.8144760
0.1823860	0.5986355	0.0585719	0.1774191	0.4709972	0.1337667	0.4085004	0.5044948	0.7334051	0.6307510
0.1822871	0.7771549	0.0770734	0.2016449	0.4196864	0.0852589	0.4146172	0.5246838	0.5320608	0.6921769
0.2002778	0.6548196	0.2450301	0.5883846	0.6467336	0.2125180	0.2420464	0.4901502	0.5680417	0.6742987
0.1617029	0.3561543	0.0214713	0.1067371	0.6182033	0.1778306	0.6396685	0.1972897	0.5915757	0.7903082
0.5382151	0.7331746	0.0494476	0.1271094	0.7972119	0.1668064	0.4558193	0.4780011	0.2440366	0.7575909
0.5482789	0.6908283	0.0258397	0.2251097	0.6643544	0.1760025	0.5180636	0.5421371	0.3347168	0.3216126
