YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.1977572	0.3250441	0.1528606	0.4501799	0.9838359	0.0619313	0.0494192	0.6079170	1.0000000	0.9305309
0.3953125	0.1625849	0.1528736	0.4501888	0.9838319	0.0619359	0.0494192	0.6079170	1.0000000	0.9304602
0.3911506	0.1292809	0.0749508	0.4456354	0.9874690	0.0519597	0.0494192	0.6079170	1.0000000	0.9986728
0.1660801	0.0780086	0.0512426	0.2225298	0.9879381	0.0506119	0.0494192	0.6079170	1.0000000	0.9996767
0.7217141	0.8353570	0.5826909	0.9825421	0.4388667	0.2663194	0.0494192	0.6079170	1.0000000	0.2346904
0.3832147	0.3041418	0.1443757	0.4371339	0.9943187	0.0302076	0.0494192	0.6079170	1.0000000	0.9490458
0.3907093	0.3171805	0.1495892	0.4451172	0.9879051	0.0506515	0.0247096	0.6079170	1.0000000	0.9379290
0.3960162	0.3258935	0.1533808	0.4513816	0.9827003	0.0652154	0.0561182	0.3039832	1.0000000	0.9298162
0.3954428	0.3251991	0.1529673	0.4504696	0.9835307	0.0629064	0.0515077	0.4431556	0.5000147	0.9869354
0.3952945	0.3250441	0.1528606	0.4501799	0.9838359	0.0619313	0.0494192	0.6079170	1.0000000	0.4655499
