YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.4916471	1.0132615	1.0434923	1.0523717	0.0411774	0.0502477	0.0509067	0.2699311	0.8348122	0.9472297
1.0796096	0.4405936	1.0773236	0.9898018	0.0296774	0.0988901	0.0367665	0.2235792	0.9427764	0.9141039
0.9427321	0.9382917	0.5535358	0.9735818	0.0623153	0.0614614	0.0793792	0.3200541	0.9070596	1.0324761
0.9414996	0.8645142	1.0568455	0.4720713	0.0335439	0.0569512	0.0666708	0.2131939	0.8372744	0.9724396
0.9899833	0.9472249	0.9585096	1.0470188	0.0299056	0.0472768	0.0664967	0.2978860	0.8547012	0.9605980
0.9435382	1.0355978	0.9733781	0.9578424	0.0442780	0.0536924	0.0804870	0.3218599	0.9033013	1.0579433
0.9838010	1.0735313	0.9648405	0.8667236	0.0781682	0.0903440	0.0409963	0.2957900	0.8518828	1.0728018
1.1149893	0.8758574	1.1104047	0.9472447	0.0229829	0.0388741	0.0269120	0.1840367	0.7896573	1.0246589
1.0028295	0.8913541	1.0228584	0.6067497	0.3526971	0.7461361	0.7432188	0.8806650	0.3397589	0.6637899
1.1364460	0.8137859	0.9440362	0.9650789	0.0912146	0.1522000	0.1086323	0.3600338	0.7666736	0.5540713
