YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000000	0.2189373	0.7367657	0.4359361	0.6389070	0.4347746	0.1541460	0.0185377	0.6968666	0.3547830
0.7259093	0.0000000	0.6655066	0.3404991	0.4041842	0.7795812	0.5379756	0.0811999	0.2797518	0.4222516
0.0521104	0.2706238	0.0000000	0.2771473	0.5101748	0.8105964	0.8760500	0.4211511	0.1705245	0.4458895
0.0915350	0.2997931	0.0333480	0.0000000	0.4382760	0.7971506	0.7502929	0.3503388	0.1186000	0.5913878
0.0413042	0.8915800	0.0234307	0.0284336	0.0000000	0.7659042	0.7920276	0.3183850	0.1166109	0.7080287
0.2121244	0.1899909	0.5977998	0.4651742	0.6909204	0.0000000	0.4770293	0.0180286	0.3657236	0.4488726
0.1306846	0.1801841	0.7326466	0.4068209	0.8102528	0.0792616	0.0000000	0.0361481	0.3617695	0.3995749
0.0967702	0.2115308	0.6235768	0.3725903	0.5612909	0.6699661	0.4148914	0.0031263	0.5636508	0.4678936
0.0641023	0.2836566	0.5096807	0.2474506	0.4457996	0.7289586	0.5875489	0.7662460	0.0000000	0.4914269
0.0962391	0.3009146	0.6586531	0.3778369	0.4528837	0.5706747	0.2220435	0.0382731	0.5351039	0.0000000
