YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000000	0.8305247	0.3647545	0.1404520	0.1328507	0.0915563	0.8704338	0.8691613	0.3941151	1.0000000
0.0473176	0.0000002	0.3640291	0.1401159	0.1326781	0.0915023	0.8709019	0.0664739	0.9999982	1.0000000
0.0491886	0.0971151	0.0000000	0.1400085	0.1326230	0.0914851	0.8710515	0.0705925	0.9806855	1.0000000
0.0504175	0.1081720	0.0192067	0.0000000	0.1113031	0.0830961	0.9998539	0.0719166	0.9748934	1.0000000
0.8381798	0.5133098	0.1615885	0.0488181	0.0000000	0.0845504	0.9729497	0.5435225	0.5431072	1.0000000
0.8393524	0.5142652	0.1619348	0.0489444	0.0080209	0.0000000	0.9728354	0.5453645	0.5423556	1.0000000
0.9897655	0.9596101	0.8159769	0.9266772	0.9654838	0.9999960	0.0000000	0.9056950	0.3677010	1.0000000
0.9801177	0.8305247	0.3647545	0.1404520	0.1328507	0.0915563	0.8704338	0.0000001	0.3941151	1.0000000
0.9800600	0.8301092	0.3643395	0.1402596	0.1327519	0.0915254	0.8707016	1.0000000	0.0000008	1.0000000
0.9897801	0.9596406	0.8159028	0.9262091	0.9627282	0.9647970	0.0551070	0.0664701	1.0000000	0.0000000
