YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.4129171	0.2124778	0.1155173	0.9999999	0.4629894	0.5591098	0.4332661	0.0300513	0.6080332	0.3245572
0.9404985	0.1062681	0.1155172	1.0000000	0.4629853	0.5591125	0.4332921	0.0243526	0.6080261	0.3245695
0.9863986	0.0445119	0.0577583	1.0000000	0.4630048	0.5590896	0.4332938	0.0242068	0.6080044	0.3245681
0.3224441	0.8386436	0.3564489	0.5000003	0.4629978	0.5590980	0.4332920	0.0340541	0.6080129	0.3245680
0.7549396	0.2727858	0.1310491	0.9999999	0.3176685	0.3746733	0.7408318	0.0248798	0.8346434	0.1969497
0.6241734	0.3914105	0.1611040	1.0000000	0.4629989	0.2795483	0.4332931	0.0243506	0.9140203	0.1440797
0.8346415	0.2049041	0.1135005	0.9999999	0.3653131	0.6614461	0.3177913	0.0259293	0.4890687	0.3990717
0.8257798	0.2124763	0.1155168	1.0000000	0.4630090	0.5590884	0.4332490	0.0124056	0.6080195	0.3245473
0.8257808	0.2124778	0.1155173	0.9999999	0.4629894	0.5591099	0.4332660	0.0268382	0.3041458	0.3245572
0.6848940	0.3342563	0.1465717	1.0000000	0.4629999	0.5590961	0.4332856	0.0239701	0.8889624	0.1622825
