"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C

0	1.0732674	0.7871239	0.9237539	1.0171211	0.0866528	0.5548176	0.8570188	0.1519663	0.2594603	0.4613367
50	0.3579616	0.6987084	0.9743497	0.7806851	0.0959842	0.4995084	0.8193288	0.1281888	0.2585457	0.3812161
100	0.0787690	0.6211273	1.0599074	0.5572349	0.0837981	0.4832525	0.8776998	0.1521111	0.3940167	0.5237306
150	0.0203621	0.5430212	0.8801498	0.4550103	0.0935066	0.5016047	0.9594677	0.1987837	0.3861348	0.5517426
200	0.0148568	0.5635911	0.9897700	0.4069112	0.1509745	0.5616486	0.8431511	0.2264384	0.3994565	0.5221861
250	0.0073041	0.5467790	0.9085005	0.3937476	0.2246554	0.5917353	0.7500936	0.2211607	0.4314152	0.4604892
300	0.0106994	0.6212018	1.0810518	0.3486544	0.1588090	0.5732958	0.6418436	0.2236496	0.4150608	0.4200203
350	0.0238243	0.6702523	1.0553732	0.3967323	0.1732318	0.5465470	0.7073626	0.2374068	0.3556967	0.3799389
400	0.0168522	0.7027229	1.0819116	0.3035808	0.2066477	0.6172434	0.6838883	0.2818456	0.4101182	0.3789739
450	0.0245153	0.7071491	1.0395408	0.3286249	0.2217614	0.5948566	0.7631937	0.2517064	0.3922871	0.3432035
500	0.0245502	0.6529537	0.9629158	0.3542129	0.2152896	0.6010744	0.6798145	0.1769827	0.3668482	0.3227544
550	0.6078589	0.7218702	0.9671271	0.5461393	0.1612128	0.6251375	0.6934482	0.2039196	0.3719361	0.2826962
600	0.9724737	0.8270199	1.0125190	0.8215125	0.1401313	0.6185317	0.7717926	0.2095397	0.3305346	0.2824658
650	0.9771727	0.7958775	0.9947464	0.9221094	0.1617661	0.5801107	0.7927954	0.2321342	0.2540876	0.3797344
700	0.9885870	0.8234797	0.9255686	1.0185010	0.1747234	0.5547389	0.7925090	0.1855165	0.2519162	0.3290305
750	0.9631955	0.7897730	1.1168478	1.0425952	0.1182070	0.4758160	0.8788981	0.1804933	0.3035780	0.3578059
800	0.9094472	0.7098555	1.0178696	1.0188574	0.0737336	0.5188803	0.8972851	0.1157696	0.2331848	0.3961150
850	1.0513427	0.6866069	1.0792398	1.0379888	0.0558209	0.5523630	0.9018115	0.1164175	0.2957362	0.4094517
900	0.9457227	0.7395047	1.0330282	1.0273232	0.0694682	0.4695842	0.8700720	0.1548739	0.3102250	0.4499194
950	0.9690527	0.6201871	1.0445642	0.9981536	0.0808986	0.4842422	0.8225248	0.1713262	0.2670102	0.4413228
1000	0.9764908	0.6933428	1.0668119	0.9653050	0.1289314	0.4684928	0.7781250	0.1374223	0.2395429	0.4019638

0	1.0732674	0.7871239	0.9237539	1.0171211	0.0866528	0.5548176	0.8570188	0.1519663	0.2594603	0.4613367
50	0.9649267	0.7524370	0.9980681	0.9614380	0.0690028	0.3335628	0.7388683	0.1368441	0.3265205	0.3970926
100	0.9245999	0.7401359	1.1847946	1.0383677	0.1045223	0.2098428	0.7919601	0.1685779	0.3387354	0.4151820
150	1.0203257	0.7875740	1.1159681	1.0482938	0.0911672	0.1172245	0.6953186	0.1708928	0.3112518	0.4292485
200	0.9589154	0.7439931	0.9417044	0.9392851	0.1108145	0.0537826	0.6798842	0.1963858	0.3456306	0.4026934
250	0.9106321	0.7114752	0.9777084	0.8607552	0.1534431	0.0464719	0.6264006	0.1962717	0.2839072	0.3165766
300	1.0193547	0.7452119	1.0017959	0.8185085	0.1738687	0.0242569	0.6800661	0.1685701	0.2901687	0.2846348
350	0.9865512	0.8160808	0.9411014	0.8245285	0.1400683	0.0384913	0.5820167	0.1839563	0.2649475	0.2332917
400	0.9865227	0.8241044	1.0024446	0.9416098	0.1637233	0.0320275	0.6211691	0.1830078	0.2670809	0.2232768
450	1.0203312	0.7187821	0.9335973	0.8930185	0.1185033	0.0341120	0.6173486	0.1526805	0.2825486	0.2273047
500	1.1200998	0.7461941	0.9756918	0.9346048	0.0749411	0.0388470	0.6919990	0.1573929	0.2587431	0.2395949
