YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0000000	0.9978634	0.0267633	1.0191444	0.8706198	0.8630454	0.8267274	0.9901443	0.7354977	0.9297535
0.9213290	0.0000000	0.0324082	1.0529696	0.8332746	0.8366951	0.8326792	1.1249413	0.7508603	0.9865166
0.1006168	1.0134412	0.0000000	0.9174255	0.8598559	0.7564579	0.8528636	1.0455801	0.6986981	0.9809305
0.9709203	0.0808974	0.9237501	0.0000000	0.3647542	0.7131871	0.8152394	1.0346129	0.0927163	0.9882785
1.0421685	0.0564199	1.0076382	0.0278260	0.0000000	0.8446325	0.8253173	0.9584115	0.0849204	1.0186006
0.0938005	0.8905653	0.0521958	1.0105218	1.0368684	0.0000000	0.7204751	1.0190751	0.7970610	0.9866055
0.1190384	0.8993053	0.0514840	0.9170829	0.9603852	0.0475831	0.0000000	1.0335391	0.7812088	1.0686205
0.0791211	0.9339897	0.0319502	1.0710078	0.9148907	0.1676830	0.0219196	0.0000000	0.8167312	0.9637539
0.0833269	0.9513701	0.0490446	0.8941246	0.9675394	0.7058643	0.7827064	0.9669789	0.0000000	0.9757943
0.1173603	0.8856850	0.0287392	1.0934026	0.8379146	0.7366329	0.8595717	1.0448459	0.7386246	0.0000000
