YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000000	0.4493910	1.0051814	1.0054182	0.1936269	0.9600841	0.9198087	1.0565127	1.0756591	0.0763111
0.0028290	0.0000000	1.1193150	0.9800505	0.2097387	0.9714041	0.8192128	1.0316096	1.0157759	0.0802548
0.9412835	0.9499915	0.0000000	1.0969605	0.1948150	0.9474014	0.7644781	0.9632209	0.8363284	0.1438734
1.0078878	0.9296606	0.0396668	0.0000000	0.2275515	0.9734798	0.7314921	1.1531553	0.9627190	0.1214688
0.4863931	0.2463488	0.9845233	1.0391554	0.0000000	1.0082889	0.8776504	0.9090230	1.0443015	0.0029113
0.9678442	0.9044188	0.6546751	0.0866400	1.0551418	0.0000000	0.4266917	0.7166818	0.0132280	0.9354422
0.6180243	0.3520168	0.9506432	0.9934736	0.2229158	1.0008471	0.0000000	0.9218312	1.0429515	0.1285031
0.4230647	0.2932229	1.0287692	0.9893157	0.1992664	0.9952201	0.6244551	0.0000000	0.9657647	0.1064435
0.4236423	0.2355096	1.0006735	1.1335642	0.2492228	0.9879979	0.8699447	0.5898915	0.0000000	0.1532764
0.6003935	0.2954129	0.9618901	0.9258183	0.2001346	1.1051172	0.9667399	1.0301253	0.9626749	0.0000000
