"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C

0	1.0274873	0.5739136	0.7587350	0.6856243	0.3876439	0.1724511	0.3012856	1.0784706	0.7807567	1.0012364
50	0.9806977	0.5573708	0.8088267	0.6697227	0.4135658	0.2850963	0.3331595	0.6279112	0.7986476	0.8828915
100	1.0020483	0.5912215	0.7271831	0.6274120	0.5111928	0.5195077	0.5255456	0.5249663	0.8128579	0.8195325
150	1.0203537	0.6743759	0.5958334	0.6290454	0.6649481	0.5869232	0.6526824	0.4533179	0.7827398	0.7742095
200	1.0484048	0.6401898	0.6028367	0.7179483	0.7387822	0.6972737	0.7643707	0.4394176	0.8357607	0.7181323
250	0.9946288	0.5901388	0.6724281	0.7492413	0.7559460	0.7626868	0.8107012	0.3813592	0.9657775	0.8045838
300	1.0229917	0.6282192	0.6929510	0.6103746	0.8955184	0.7043380	0.8567425	0.4459817	0.9628729	0.8003628
350	1.0516301	0.5839839	0.6977029	0.5993219	0.8908811	0.7676050	0.8598044	0.4513759	0.9500397	0.7048432
400	1.1119760	0.5360244	0.5462701	0.5423272	0.9695314	0.8213431	0.8769431	0.4190504	0.8289385	0.8074509
450	1.0466354	0.5945338	0.5690690	0.4847578	0.9426764	0.7558453	0.8842052	0.4014346	0.9938705	0.8530864
500	1.0360445	0.5794640	0.5457440	0.4052213	0.9374406	0.8099786	0.9428051	0.4526148	0.9568136	0.7438493
550	1.0253495	0.4540904	0.4396125	0.4402240	0.8760169	0.6511540	0.7450312	0.6825022	0.8396944	0.7802500
600	0.9886860	0.4661444	0.5014450	0.4166940	0.8108081	0.4303552	0.6609302	0.7217604	0.9561174	0.7962401
650	1.0200298	0.3811561	0.6571548	0.3913420	0.7088160	0.4252323	0.5833496	0.7619397	0.9003316	0.9015830
700	0.9958892	0.4679464	0.7541943	0.4221518	0.7511770	0.3982971	0.4409716	0.8115181	1.0123547	0.9717520
750	1.0575548	0.4800047	0.6344788	0.4444897	0.8266626	0.4055899	0.4506118	0.7368630	0.8409968	0.9609704
800	1.1182822	0.4538867	0.6469657	0.5381736	0.8070910	0.3648795	0.3882759	0.9348822	0.9288607	0.9873177
850	1.1051557	0.4714451	0.6599853	0.5341071	0.7457232	0.2962133	0.3862577	0.7941315	0.8980209	1.0383147
900	1.0418193	0.4533843	0.6742890	0.5677540	0.6703229	0.2712918	0.3801472	0.7243200	0.9619892	1.0522097
950	0.9562565	0.4831181	0.7466244	0.5193452	0.6187784	0.2261362	0.3997521	0.8653384	0.8993913	1.0781358
1000	0.9571485	0.5231229	0.6964343	0.6234303	0.5397870	0.1846385	0.3825152	0.9059517	0.8114061	0.9778584

0	1.0274873	0.5739136	0.7587350	0.6856243	0.3876439	0.1724511	0.3012856	1.0784706	0.7807567	1.0012364
50	1.0175530	0.6592145	0.9637119	0.7679810	0.2860528	0.0796940	0.1930084	0.8731179	0.7731696	0.9272350
100	1.0328365	0.6560647	0.8803861	0.9141544	0.1428818	0.0302184	0.1162726	0.9792893	0.6970944	0.9949812
150	1.0928674	0.6548594	0.9206069	0.9203840	0.1104701	0.0173571	0.1058788	0.9432246	0.7790537	1.0308386
200	1.0029979	0.7221833	0.9440635	0.8582049	0.0702643	0.0066451	0.0933825	0.9729279	0.7531608	1.0411605
250	1.0154833	0.7054503	0.9622331	0.8804447	0.0701371	0.0117011	0.0707812	0.9317036	0.7657477	1.0853110
300	1.0050319	0.7884852	0.9518014	0.9761031	0.0706962	0.0128367	0.0627308	0.8541906	0.6696493	1.0628177
350	0.9704055	0.7605072	0.9855989	0.9654725	0.0987552	0.0119234	0.0760079	0.9528814	0.7166017	0.9507988
400	1.0126647	0.8006960	1.0293813	0.9367031	0.0913770	0.0133844	0.0920732	0.9068188	0.7118397	0.9687776
450	1.0066389	0.7998774	0.9651569	0.8967489	0.0633923	0.0095920	0.0791899	0.8663504	0.6676030	0.9937306
500	1.0015589	0.7872314	1.0005146	0.9696014	0.0529837	0.0063224	0.0532594	0.8262794	0.6923800	0.9589163
550	0.8752188	0.6545115	0.9313606	0.9578648	0.0526450	0.0102761	0.1933594	0.8317130	0.5813949	1.0424978
600	1.0623932	0.6021671	0.8964942	0.8819894	0.0627703	0.0360658	0.3034926	0.8678060	0.4583652	1.0377564
650	1.0303764	0.5709964	0.8714543	0.7687280	0.0621194	0.0548767	0.3874846	0.8785822	0.4017038	0.9794389
700	0.9873498	0.5239749	0.8413917	0.8085332	0.1120782	0.1260207	0.3787886	0.8602351	0.4306178	0.9476357
750	1.0376665	0.5688107	0.7763731	0.7262495	0.2094885	0.1573758	0.3485638	0.7910279	0.4441945	0.9530803
800	0.9905560	0.5796634	0.7488678	0.7484253	0.2959164	0.1650001	0.3231306	0.8111805	0.4937832	0.9731309
850	0.9826941	0.5463334	0.7983707	0.7760741	0.3290230	0.1244712	0.3188263	0.9283132	0.7291759	1.0111161
900	0.9946607	0.5691342	0.8002948	0.7442239	0.3490360	0.1616766	0.3381885	0.8951649	0.7307320	1.0388715
950	0.9512608	0.5513199	0.8380683	0.6860929	0.3968470	0.1427887	0.2954215	0.8306212	0.7568183	1.0268730
1000	0.9936747	0.5600002	0.8481098	0.6662854	0.3456883	0.1602800	0.3377920	0.9065356	0.7951409	1.0562411

0	1.0274873	0.5739136	0.7587350	0.6856243	0.3876439	0.1724511	0.3012856	1.0784706	0.7807567	1.0012364
50	1.0685038	0.5120662	0.8893273	0.7349984	0.4549002	0.4101277	0.2054476	0.6680971	0.8339596	0.9481939
100	1.0829559	0.4824586	0.9109470	0.6539349	0.6539649	0.7885803	0.2548636	0.6044514	0.8976225	0.9649126
150	1.0209491	0.4568177	0.9079327	0.6191270	0.8350498	0.9029157	0.2580675	0.4939741	0.7901199	0.9974103
200	0.9871065	0.5337229	0.8846785	0.5066059	0.8843912	1.0594809	0.3573144	0.6065888	0.9659279	1.0064546
250	0.9989295	0.5180744	0.8618363	0.4717555	0.9539553	1.0027149	0.4013194	0.4845248	1.0340296	1.0043888
300	0.9620050	0.6172138	0.8422352	0.5057782	0.9287131	0.9524863	0.3682098	0.5387633	1.0217956	1.0053167
350	0.9106877	0.5418595	0.7834294	0.4965428	0.9078228	0.9611432	0.3160074	0.4825118	0.9410298	0.9588820
400	0.9335130	0.5757427	0.7204110	0.4462396	0.8981992	1.0361543	0.3451984	0.4776180	0.8246033	0.9953979
450	0.9351597	0.5035031	0.7290618	0.4765184	0.9557912	1.0149155	0.3481749	0.5634701	0.8507750	1.0228593
500	0.9675591	0.4906028	0.7218317	0.4722219	0.9820151	1.0042038	0.3202010	0.5140770	1.0305334	1.0357105
550	1.0411516	0.4989814	0.7253592	0.4683575	0.9922543	0.7554776	0.3670556	0.8990478	1.0114681	0.9841209
600	1.0615810	0.5625958	0.7366348	0.4486002	0.9785004	0.4110407	0.3459241	0.8654595	0.9304835	0.9925961
650	0.9953611	0.5135314	0.7113989	0.5892322	0.8162328	0.2376710	0.3159018	0.9099778	0.9229789	1.0601278
