YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0234180	0.0047924	0.5575177	0.3729571	0.5428453	0.7155709	0.0558920	0.2606863	0.4819166	0.2877114
0.1536322	0.0011191	0.7053827	0.3675846	0.5747777	0.7448638	0.0943583	0.3255378	0.5342473	0.2656895
0.2186032	0.0225875	0.3610238	0.3163589	0.5776366	0.7577326	0.0955434	0.2706439	0.6571412	0.5181633
0.0998586	0.0028202	0.6514174	0.1973241	0.5591821	0.7838004	0.0574967	0.2718195	0.3959634	0.2757811
0.6736996	0.3997863	0.1361890	0.5860518	0.2601007	0.7838027	0.1058082	0.2373094	0.7120230	0.7678921
0.0975488	0.0112209	0.6635597	0.4127436	0.5641850	0.3786442	0.0639914	0.3998855	0.4968167	0.3068344
0.0832737	0.0027904	0.5968259	0.3640041	0.5543823	0.8982899	0.0101932	0.2483328	0.4247739	0.4082917
0.0488462	0.0034044	0.8744555	0.3732445	0.6458876	0.7078051	0.1000217	0.1370597	0.4564416	0.1992486
0.1172818	0.0032401	0.6337684	0.3967804	0.5135554	0.6183904	0.0691667	0.3513275	0.3136605	0.3948846
0.0874382	0.0029918	0.4580006	0.4035015	0.5607195	0.8364924	0.1012192	0.3404606	0.2415001	0.2418885
