YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.0000000	0.0243570	0.1398672	0.3033564	0.7706190	0.3197576	0.7274813	0.7187969	0.8586329	0.0271410
0.4110409	0.0000000	0.2098914	0.2679603	0.6995433	0.2534575	0.6560160	0.5935448	0.6965757	0.0099054
0.3133498	0.0288153	0.0000000	0.1938181	0.7845174	0.3144588	0.7022733	0.6257523	0.8469033	0.0761523
0.4716489	0.6635254	0.6842006	0.0000000	0.6528725	0.2490834	0.7049721	0.8977313	0.8016048	0.0480151
0.3615417	0.0202539	0.1476095	0.6879935	0.0000000	0.8258669	0.6559608	0.6834921	0.8023879	0.6768510
0.4956296	0.0375113	0.1901787	0.3493386	0.5551529	0.0000000	0.6237622	0.7427272	0.7156765	0.0370082
0.7181325	0.0262110	0.1743299	0.3656878	0.6104714	0.0539517	0.0000000	0.6865925	0.7063685	0.1247964
0.8160486	0.0314052	0.1785294	0.3043344	0.8232977	0.0284110	0.0031746	0.0000000	0.7981466	0.0299798
0.8009273	0.0402442	0.1831749	0.4232428	0.7477780	0.0462252	0.0030838	0.0510463	0.0000000	0.0426175
0.3498475	0.0115450	0.1991690	0.2335994	0.6444153	0.2206623	0.7714846	0.7928566	0.7648547	0.0000000
