YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.1379465	0.3800939	0.5559700	0.5052303	0.3411651	0.7238964	0.2114823	0.7826084	0.1165509	0.7277762
0.1518132	0.2371309	0.3844306	0.5691571	0.3627239	0.8661488	0.1160413	0.7612595	0.1037080	0.6714491
0.3241804	0.6740809	0.2173150	0.6984964	0.2828641	0.8249691	0.2758730	0.7270280	0.0609065	0.7759709
0.3669767	0.6123121	0.3314334	0.3281766	0.2931915	0.9084163	0.2909408	0.5121602	0.1105261	0.7620167
0.3346962	0.3683379	0.5475880	0.5847501	0.1452654	0.7740386	0.1947625	0.6846122	0.1185258	0.7041273
0.5036120	0.5253395	0.4421919	0.7433171	0.4238899	0.3562856	0.1366054	0.6208681	0.0954593	0.7730856
0.3743536	0.3727638	0.4732913	0.6056376	0.3166241	0.7390849	0.1056407	0.7790328	0.0692012	0.6937180
0.3664156	0.4873616	0.5018896	0.4844137	0.3393680	0.4411340	0.5754993	0.3020720	0.0579147	0.7721200
0.4364256	0.3079629	0.4340251	0.5518462	0.2715163	0.6717729	0.1801954	0.8407893	0.0469591	0.8890774
0.4375131	0.4885168	0.4831985	0.7096153	0.2980369	0.6511332	0.1931897	0.6649035	0.0532231	0.2871877
