YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0000000	0.6682390	0.2728812	0.5246834	0.3853557	0.5968346	0.6962135	0.0166459	0.4068014	0.4279236
0.0212619	0.0000000	0.1893567	0.9209010	0.2509960	0.7290362	0.4829118	0.0030931	0.0418168	0.3778722
0.9247168	0.3972816	0.0000000	0.8525949	0.8522412	0.5199791	0.5344484	0.0740005	0.3819040	0.3807357
0.6024673	0.2785134	0.8610104	0.0000000	0.4639876	0.4764420	0.7638687	0.0143335	0.2184614	0.4490073
0.7728408	0.2942434	0.2735965	0.6063632	0.0000000	0.3970395	0.7174012	0.0696410	0.2820332	0.4564124
0.7800803	0.3359682	0.1837668	0.8894417	0.8568178	0.0000000	0.4859338	0.0197575	0.2312261	0.9758937
0.6352850	0.3302831	0.2547501	0.6021502	0.1106887	0.8572876	0.0000000	0.0180007	0.2495692	0.3164564
0.6899952	0.3791860	0.3182778	0.5538915	0.2985504	0.5851765	0.7531376	0.0000000	0.3309997	0.3609140
0.8579434	0.2781490	0.0889765	0.8186920	0.3466865	0.5649297	0.4648172	0.0087090	0.0000000	0.3416006
0.8338270	0.3435222	0.2511385	0.5265233	0.2600326	0.5612154	0.6582212	0.0081688	0.2611454	0.0000000
