"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.6157815	0.4093296	0.5765471	0.3757422	0.6769413	0.2980350	0.0368502	0.0793040	0.7353601	0.7303840
50	0.4731528	0.4915287	0.5021390	0.3479204	0.8491124	0.2657946	0.0363911	0.0966595	0.7039745	0.6940082
100	0.4932055	0.6186077	0.6274120	0.4564795	0.6498701	0.3466423	0.0635662	0.0700882	0.6659978	0.7576037
150	0.5147812	0.4694218	0.4887371	0.4496396	0.6676989	0.4190995	0.0515399	0.1189763	0.6268027	0.6605491
200	0.4926554	0.3475868	0.4768795	0.4595760	0.5897698	0.3396411	0.0404256	0.0760475	0.9274865	0.8131909
250	0.4360298	0.3588281	0.4888939	0.5358602	0.6174373	0.2927039	0.0838440	0.0819149	0.7001988	0.8375089
300	0.3608762	0.4660374	0.5307305	0.5461322	0.7748611	0.3157672	0.0520756	0.0921348	0.6888107	0.7609647
350	0.3469339	0.4194623	0.5615266	0.5202543	0.8042174	0.4076221	0.0312507	0.1863119	0.6193670	0.8797355
400	0.3293513	0.4403559	0.5474683	0.4294594	0.5370446	0.2469308	0.0639513	0.1197450	0.8313220	0.7423997
450	0.4637662	0.3902343	0.5578425	0.4706976	0.8393268	0.3497684	0.0424106	0.1825482	0.7996086	0.7942426
500	0.5655606	0.4527678	0.5246141	0.4034965	0.6720177	0.3410488	0.0492753	0.1661631	0.7905898	0.7352122
550	0.6232312	0.3604901	0.5180820	0.3051825	0.7103684	0.1991221	0.0557864	0.1087797	0.8379901	0.5639158
600	0.5736404	0.4391015	0.5947362	0.3229740	0.6502135	0.2961385	0.0382926	0.0777727	0.7373117	0.8240132
650	0.5443865	0.3584345	0.5032326	0.4323925	0.7299031	0.2388879	0.0654394	0.0745934	0.7262081	0.7355334
700	0.4683052	0.4940633	0.6268475	0.4237533	0.5975295	0.3080564	0.0584984	0.0875848	0.6361295	0.8682827
750	0.4411850	0.3630206	0.4202824	0.4781109	0.6498012	0.1646436	0.0235732	0.1143617	0.7735128	0.8660152
800	0.3938726	0.3710502	0.4664726	0.4986532	0.5683970	0.1933955	0.0594272	0.0520569	0.7273651	0.7517379
850	0.4064813	0.3332286	0.5266034	0.4576041	0.7190231	0.2142693	0.0264729	0.1168317	0.7532940	0.6912751
900	0.4691006	0.4578323	0.4796141	0.5077806	0.6045244	0.1951456	0.0317327	0.0985741	0.8304070	0.6908909
950	0.4995488	0.3747214	0.4684109	0.4281611	0.5191746	0.2269945	0.0408999	0.1328669	0.6911175	0.7123605
1000	0.4878526	0.4348471	0.5365126	0.4096915	0.6714844	0.2084752	0.0547995	0.0932603	0.7879589	0.6395221

0	0.5957389	0.4273882	0.4583536	0.4187533	0.7027474	0.3101440	0.0759353	0.0947897	0.7650104	0.9104068
50	0.4354086	0.5268292	0.4929975	0.4888343	0.6629496	0.2468591	0.0512245	0.1155372	0.7391798	0.4969088
100	0.3562043	0.5301016	0.4227413	0.5535013	0.5755722	0.2515856	0.0486747	0.0845087	0.7145999	0.6747432
150	0.2442544	0.5867823	0.4877758	0.5468366	0.7603719	0.3128278	0.0451572	0.0918543	0.6781642	0.5617135
200	0.3599837	0.5654989	0.4474724	0.5365223	0.6794015	0.1945197	0.0604268	0.1041267	0.6915414	0.5227567
250	0.2789913	0.5669112	0.4684223	0.5975298	0.7003317	0.1653018	0.0461598	0.0979949	0.8019922	0.4280933
300	0.2598836	0.6700967	0.4094229	0.5873381	0.5536429	0.1948013	0.0273532	0.1107011	0.8450481	0.4630923
350	0.2925079	0.6253483	0.5571871	0.5613630	0.6308480	0.2520860	0.0517649	0.1251338	0.7788724	0.6462126
