YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.4502411	0.2961319	0.2325918	0.2113476	0.7561675	0.0004328	0.3567155	0.1841578	0.0572222	0.7434752
0.4936074	0.3754877	0.3525938	0.2587491	0.6706724	0.0253853	0.7586068	0.0512197	0.0356774	0.5942515
0.3373282	0.4775643	0.7200447	0.1359088	0.5692726	0.0314240	0.3726367	0.0000092	0.0072699	0.5888169
0.5493868	0.4788911	0.6156542	0.0739404	0.7864357	0.0002001	0.8339240	0.0000467	0.0050587	0.8617408
0.5234253	0.5124301	0.5718355	0.1780222	0.4004001	0.0021949	0.2546697	0.5090407	0.0462491	0.6610474
0.3813654	0.4385158	0.7182124	0.1152275	0.7498103	0.0013883	0.6656334	0.0001486	0.0186541	0.7009532
0.3832157	0.5767312	0.6011482	0.1290945	0.8466445	0.0050531	0.4773117	0.0003549	0.0064850	0.5171197
0.4611980	0.5915754	0.5670745	0.1036152	0.6854586	0.0508494	0.7765690	0.0004119	0.0173284	0.8411431
0.5838966	0.5779857	0.5932314	0.0197339	0.8257945	0.0013306	0.5894715	0.0990535	0.0089998	0.3840749
0.0633776	0.0077689	0.1206449	0.3678295	0.1438744	0.2218754	0.0555078	0.7108246	0.6964185	0.8156341
