"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W

0	0.5217717	0.3202160	0.9998450	0.9904056	0.1898423	1.0000000	0.8903155	0.9827877	0.9998584	0.0620134
50	0.5215643	0.3202099	0.9998691	0.9903947	0.1931505	0.9289804	0.8903376	0.9881355	0.9961867	0.2606486
100	0.5214796	0.3201961	0.9998859	0.9895329	0.2133060	0.8442720	0.8887300	0.9939795	0.8395504	0.4206930
150	0.5214370	0.3201838	0.9998911	0.9853926	0.2452726	0.7937246	0.8859663	0.9972914	0.5272876	0.4922340
200	0.5214109	0.3201774	0.9998912	0.9755891	0.2751995	0.7687095	0.8831672	0.9988567	0.2984586	0.5341150
250	0.5213950	0.3201755	0.9998885	0.9605394	0.2963417	0.7573791	0.8808401	0.9995354	0.1735739	0.5678494
300	0.5213869	0.3201767	0.9998838	0.9437917	0.3088867	0.7525049	0.8789945	0.9998155	0.1104784	0.5947636
350	0.5213846	0.3201798	0.9998779	0.9291444	0.3155137	0.7504772	0.8775234	0.9999275	0.0787047	0.6135520
400	0.5213864	0.3201841	0.9998722	0.9184185	0.3187421	0.7496533	0.8763658	0.9999713	0.0625019	0.6250853
450	0.5213909	0.3201885	0.9998675	0.9115271	0.3202258	0.7493242	0.8754963	0.9999881	0.0541795	0.6314822
500	0.5213965	0.3201924	0.9998641	0.9075107	0.3208789	0.7491945	0.8748841	0.9999945	0.0499151	0.6347655
550	0.5214026	0.3201999	0.9998306	0.9056713	0.3150753	0.8201635	0.8742455	0.9110805	0.0550919	0.4903827
600	0.5214135	0.3202189	0.9998078	0.9111670	0.2851943	0.9048524	0.8722735	0.8091750	0.1395370	0.3572071
650	0.5214330	0.3202352	0.9998043	0.9288857	0.2485952	0.9553922	0.8690618	0.7553557	0.3786000	0.2605499
700	0.5214540	0.3202413	0.9998115	0.9504043	0.2214235	0.9804044	0.8668261	0.7746635	0.6620388	0.1823081
750	0.5214678	0.3202390	0.9998220	0.9674529	0.2053986	0.9917337	0.8686227	0.8468521	0.8503129	0.1276543
