"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.9813667	0.3500443	0.4900739	1.0497762	0.1180070	0.7343867	0.9774965	0.5190697	0.9787736	0.2208532
50	0.9207062	0.3497015	0.4401764	0.9614709	0.0408274	0.7207044	0.9192606	0.7417579	0.9011932	0.2475464
100	1.0107727	0.3498606	0.4374020	1.0033030	0.0357721	0.6965056	0.9122979	0.7243878	0.9572060	0.2375369
150	1.0535276	0.3671156	0.4957172	0.9797414	0.0300466	0.6764205	1.0393994	0.7504074	0.9135636	0.2713343
200	1.0879933	0.3207023	0.5171436	0.9708180	0.0243300	0.6773901	0.9402255	0.7496563	0.9783471	0.2447166
250	0.8518902	0.3401747	0.5131504	0.9647864	0.0293448	0.6499269	0.9800080	0.8007488	0.9201102	0.2270665
300	0.9740823	0.3103774	0.5171908	0.9399560	0.0236467	0.6743103	0.9833714	0.7214645	0.9998310	0.3040395
350	1.0440251	0.3565976	0.5528112	0.9130254	0.0256305	0.7181138	1.0806785	0.7813619	0.8855514	0.2947251
400	0.9911098	0.3198638	0.4270055	0.9777402	0.0401356	0.6542512	0.9664637	0.7182373	0.9192865	0.2334295
450	0.9492785	0.3067684	0.4928289	0.9651319	0.0308358	0.6769750	0.9981088	0.7502888	0.8892022	0.3195924
500	1.0253090	0.3908867	0.4263748	1.0424421	0.0277059	0.7602388	1.0085686	0.7751668	0.8464165	0.2781868
550	1.0849587	0.3422802	0.4861760	0.9625473	0.0840120	0.7145175	0.9872778	0.6572313	0.8118587	0.2573175
600	0.9702295	0.4383887	0.4633462	0.9983555	0.1089322	0.7382984	0.9215935	0.5446251	0.9237551	0.2362318
650	1.0249421	0.3920904	0.5233260	0.9247824	0.1184902	0.7402717	0.9458648	0.5164851	0.9545731	0.2416819
700	0.8740433	0.3739827	0.5145258	1.0537617	0.1132521	0.7292938	0.9136105	0.5091861	0.9030123	0.2307714
750	1.0257561	0.3677968	0.4587273	1.1158208	0.1055169	0.6644864	1.0362347	0.5190907	1.0034881	0.2201840
800	0.9732353	0.3609408	0.4490220	1.0660701	0.1079547	0.7216089	0.9950457	0.5080834	0.9897917	0.2316451
850	1.0761901	0.4094659	0.4741205	1.0648582	0.1037317	0.7387710	0.8850525	0.4715655	0.9021781	0.2466663
900	1.0815716	0.3838807	0.4520267	1.0318796	0.0865479	0.7317395	0.9394091	0.4427497	0.8852712	0.2453324
950	0.9996927	0.3728890	0.4416728	1.0653771	0.0793447	0.7505774	0.8642079	0.5040554	0.9222835	0.2562571
1000	0.9884349	0.4114943	0.4807563	1.0162102	0.1030006	0.7408426	0.8341649	0.5417249	0.8995230	0.2580258

0	0.9813667	0.3500443	0.4900739	1.0497762	0.1180070	0.7343867	0.9774965	0.5190697	0.9787736	0.2208532
50	0.9546703	0.1943926	0.4558834	0.9801159	0.0310919	0.7862625	0.9928525	0.5033317	1.0002226	0.0896863
100	0.9757043	0.1811085	0.3851096	0.9679071	0.0238123	0.8725101	0.9649442	0.5411930	0.9265517	0.0348015
150	0.9856665	0.1469535	0.3832517	0.9480052	0.0180518	0.8073575	0.9581739	0.6020304	1.0678355	0.0081703
200	0.8949999	0.1767004	0.3709428	0.9819414	0.0048686	0.7622232	0.9780358	0.7123457	1.0363809	0.0048612
250	0.9285277	0.1729987	0.4301999	0.9653099	0.0131199	0.8158295	1.0063983	0.8026046	0.9690138	0.0007295
300	0.9484628	0.1355505	0.4115139	1.0590991	0.0183090	0.8785642	1.0071256	0.9275526	0.9759767	0.0010807
350	0.9692218	0.1341847	0.3610659	0.9800218	0.0138558	0.7923154	0.9819368	0.9052882	1.0014457	0.0000000
400	0.9055015	0.1714817	0.3977933	1.0245485	0.0063344	0.8190305	0.9312532	0.9017269	1.0129011	0.0006618
450	1.0617812	0.1734490	0.4535488	0.9648461	0.0084335	0.7575632	0.9927422	0.8908788	1.0425156	0.0000562
500	1.0252453	0.1993132	0.4327721	1.0483273	0.0042772	0.7984780	0.9925494	0.9251561	0.9699101	0.0000336
550	0.9660004	0.3358203	0.4654671	0.9582343	0.0852862	0.8095411	0.9793966	0.8054352	0.9789774	0.2030239
600	1.0258099	0.3437782	0.4321971	0.9616329	0.0903767	0.7515615	0.9476876	0.5764263	1.0569239	0.2286606
650	1.0108030	0.3742450	0.4249079	1.0549462	0.1002521	0.7534626	0.9305551	0.4475239	0.9781038	0.2270804
700	1.0230102	0.4419523	0.4360181	1.0146403	0.1019494	0.7260198	0.9131460	0.5429196	0.8987705	0.2468897
750	1.0093540	0.4581619	0.4695525	1.0266020	0.0808327	0.7271304	0.9233889	0.5096596	0.9387552	0.2280188
800	0.9848166	0.4937391	0.4465975	1.0080683	0.0988989	0.6809494	0.9329898	0.4361997	1.0466458	0.2042054
850	1.0265496	0.4890876	0.5141475	0.9918379	0.0946275	0.6734346	0.8506811	0.5668282	1.0124302	0.2054933
900	0.9113521	0.4362780	0.4024827	0.9994314	0.0979520	0.6997994	0.9671105	0.5378113	0.9849019	0.1740658
950	0.9625350	0.4148267	0.4530438	1.1169137	0.0718668	0.6285852	0.9290765	0.4839043	0.9677079	0.1752264
1000	0.9956047	0.4281018	0.4688717	1.0193695	0.0973316	0.6370620	0.9309768	0.4978829	0.9919926	0.1774911

0	0.9813667	0.3500443	0.4900739	1.0497762	0.1180070	0.7343867	0.9774965	0.5190697	0.9787736	0.2208532
50	1.0594632	0.3628355	0.4472941	1.0770929	0.0479736	0.7204393	0.9108873	0.4506602	0.9736943	0.2113124
100	1.0013692	0.3745108	0.4836755	1.0078360	0.0267492	0.7085225	0.9129518	0.5438914	0.8579464	0.2078779
150	1.0174185	0.3935542	0.4679841	1.0305512	0.0413773	0.6988972	0.8726718	0.6392306	0.9005578	0.2179592
200	1.0510786	0.4118474	0.4963513	0.8988258	0.0213266	0.7396702	0.9680668	0.5087084	0.9350866	0.2705937
250	1.0273659	0.3755638	0.4984189	0.9427009	0.0440388	0.7832522	1.0122085	0.4993963	1.0147453	0.2121180
300	0.9716902	0.3629550	0.3945174	0.9754202	0.0484925	0.7318518	1.0102878	0.4580516	0.9655134	0.1871578
350	1.0830865	0.3559734	0.4461639	1.0009889	0.0431318	0.7009984	1.0127243	0.4863971	1.0550841	0.2077677
400	0.9848011	0.3772162	0.4218368	0.9905456	0.0285304	0.7069358	1.0031011	0.4975382	1.0046517	0.1797397
450	1.0101483	0.3670157	0.4578771	0.9711056	0.0100481	0.7316089	0.9701822	0.4647781	1.0196307	0.1902200
500	1.0425525	0.3838432	0.4684827	0.9333524	0.0157064	0.7505969	0.9747452	0.5463951	1.0577294	0.2327708
550	0.9917886	0.3865823	0.4479666	0.9217627	0.0889870	0.7075963	0.9203354	0.4980509	1.0177600	0.2477675
600	1.0556235	0.3910968	0.5115904	1.0406882	0.1200380	0.6451010	0.9028197	0.4589977	0.9100412	0.2115921
650	1.0838807	0.3472590	0.5092273	0.8617606	0.1230591	0.6598359	0.9415799	0.5115224	0.9602834	0.2372531
700	1.1208847	0.3694485	0.5265711	1.0253931	0.1184309	0.6721338	0.9534873	0.4987945	0.9901442	0.2349708
750	1.1035072	0.3930446	0.5000250	1.0650474	0.1014827	0.6967482	1.0015316	0.5165469	0.9985195	0.2520450
800	1.0000201	0.3618538	0.4809977	0.9860825	0.1056460	0.7710164	0.9281809	0.4767170	0.9259932	0.2292511
850	0.9358123	0.3833739	0.5185428	0.9239037	0.1011627	0.6575351	0.9730002	0.5178285	0.9321237	0.2566335
900	0.9413663	0.3501974	0.4971878	0.9607732	0.1070475	0.6706510	0.9246362	0.4740260	0.9407701	0.2154032
950	0.9705776	0.3486982	0.5188427	0.9328039	0.1084845	0.7005928	0.9419622	0.5812773	0.9774957	0.1906268
1000	0.9813990	0.3873735	0.5266567	0.9873993	0.1202870	0.6928566	0.8955099	0.4795368	0.9680362	0.1969354

0	0.9813667	0.3500443	0.4900739	1.0497762	0.1180070	0.7343867	0.9774965	0.5190697	0.9787736	0.2208532
50	0.9817790	0.3648997	0.5952354	0.9922057	0.1324611	0.6815963	1.0301323	0.6506862	0.6875993	0.1730175
100	0.9084558	0.3536871	0.5191724	1.0202768	0.1391129	0.6911259	0.9745092	0.7312905	0.6177998	0.1945411
150	0.9699905	0.4051787	0.5213411	0.9593953	0.1109405	0.6670020	0.9489764	0.7500363	0.6236324	0.2059127
200	0.9900591	0.4104869	0.4532778	0.9125022	0.1150323	0.7273408	0.9350939	0.7703014	0.7070537	0.1980572
