YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.3682627	0.8769848	0.0224882	0.8938642	1.0030569	0.8838113	0.6441116	0.8492724	0.0064444	0.9831780
0.3398111	0.9622104	0.0044210	0.9157031	0.9265342	0.9140851	0.5561804	1.0419438	0.0232798	1.0462275
1.0143153	0.0140996	0.0477315	1.0115204	0.9070566	0.9857718	0.0025289	0.8808601	0.0385846	0.5646741
0.9991455	0.0480158	0.0520950	0.8857072	0.9957332	1.0158528	0.0121556	1.0377982	0.0472314	0.9756688
1.0762900	0.0128744	0.0670195	0.9986246	0.9500754	0.8392959	0.0076908	0.9886295	0.0274469	0.7747600
0.9479541	0.0391235	0.0594860	0.8895190	0.9070741	1.0495703	0.1529981	0.7218171	0.0650883	1.0144545
0.2387525	0.9124300	0.0045992	0.9068356	0.9689287	0.9919659	0.5455594	0.9774598	0.0416855	0.7530008
0.2005014	1.0860460	0.0049467	0.8708536	0.8394533	0.7962904	0.6734604	0.9739795	0.0494519	0.8983896
0.3457434	1.0602865	0.0044964	0.8414779	0.9079947	0.8762518	0.5938176	1.0873744	0.0636821	0.8538356
0.0940625	1.1228891	0.0043372	0.9062410	0.8998554	0.8673363	0.5118917	0.6669444	0.0173389	0.9330545
