"Time"	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W

0	0.7921789	0.9266198	0.4424949	0.7810811	0.5774819	0.3709375	0.1200770	0.9451386	0.3612398	1.0000000
50	0.7921522	0.9153167	0.4426376	0.8889117	0.5810255	0.5047218	0.1200769	0.9451415	0.3612397	1.0000000
100	0.7929285	0.8353015	0.4467311	0.9606210	0.5959493	0.6577638	0.1200765	0.9451489	0.3612390	1.0000000
150	0.7964696	0.7053172	0.4581582	0.9839709	0.6106504	0.7472362	0.1200757	0.9451534	0.3612377	1.0000000
200	0.8034820	0.5886826	0.4722102	0.9906462	0.6182905	0.7931998	0.1200748	0.9451552	0.3612365	1.0000000
250	0.8124292	0.5089134	0.4831039	0.9924978	0.6202733	0.8169210	0.1200741	0.9451556	0.3612359	1.0000000
300	0.8211333	0.4608601	0.4890553	0.9930018	0.6198186	0.8296765	0.1200737	0.9451557	0.3612356	1.0000000
350	0.8282133	0.4335135	0.4912657	0.9931292	0.6189766	0.8366111	0.1200735	0.9451557	0.3612355	1.0000000
400	0.8333132	0.4183676	0.4915988	0.9931547	0.6184697	0.8402278	0.1200734	0.9451556	0.3612355	1.0000000
450	0.8366885	0.4101700	0.4913590	0.9931567	0.6183223	0.8419603	0.1200733	0.9451556	0.3612355	1.0000000
500	0.8387881	0.4058745	0.4911321	0.9931558	0.6183603	0.8427014	0.1200733	0.9451556	0.3612355	1.0000000
550	0.8399546	0.4191054	0.4909995	0.8944408	0.6175227	0.7133870	0.1200733	0.9451545	0.3612355	1.0000000
600	0.8388368	0.5102295	0.4897846	0.8282421	0.6115828	0.5654148	0.1200735	0.9451496	0.3612358	1.0000000
650	0.8327988	0.6442972	0.4849350	0.8046862	0.6011936	0.4793459	0.1200740	0.9451447	0.3612368	1.0000000
700	0.8231328	0.7561477	0.4760018	0.7948046	0.5908709	0.4356175	0.1200748	0.9451418	0.3612378	1.0000000
750	0.8133593	0.8280655	0.4654424	0.7889727	0.5837948	0.4126150	0.1200755	0.9451403	0.3612386	1.0000000
800	0.8056416	0.8693836	0.4562742	0.7852364	0.5803094	0.3986541	0.1200760	0.9451395	0.3612391	1.0000000
850	0.8003636	0.8925859	0.4500488	0.7831499	0.5791202	0.3890282	0.1200764	0.9451391	0.3612394	1.0000000
900	0.7970410	0.9060382	0.4466128	0.7821999	0.5788127	0.3822353	0.1200766	0.9451388	0.3612396	1.0000000
950	0.7950346	0.9141997	0.4449698	0.7818218	0.5785930	0.3776986	0.1200768	0.9451387	0.3612397	1.0000000
1000	0.7938388	0.9192716	0.4441562	0.7816289	0.5782734	0.3748898	0.1200768	0.9451386	0.3612397	1.0000000

0	0.7921789	0.9266198	0.4424949	0.7810811	0.5774819	0.3709375	0.1200770	0.9451386	0.3612398	1.0000000
50	0.7921015	0.9269039	0.4360771	0.8645710	0.5311515	0.3705761	0.1200983	0.9424673	0.3223281	1.0000000
100	0.7916604	0.9273735	0.4035638	0.9161615	0.4909770	0.3664085	0.1205109	0.9317156	0.2934754	1.0000000
150	0.7904406	0.9297176	0.3645153	0.9296576	0.4829295	0.3526064	0.1217647	0.9212820	0.2841566	1.0000000
200	0.7887705	0.9357298	0.3423936	0.9329524	0.4939330	0.3325425	0.1235005	0.9157064	0.2826187	1.0000000
250	0.7871715	0.9442778	0.3402218	0.9350263	0.5063750	0.3158374	0.1250647	0.9137418	0.2830148	1.0000000
300	0.7858933	0.9522205	0.3474731	0.9366991	0.5100387	0.3083914	0.1261349	0.9133489	0.2834829	1.0000000
350	0.7849738	0.9573191	0.3530906	0.9373927	0.5066493	0.3089062	0.1267360	0.9133953	0.2837133	1.0000000
400	0.7843768	0.9593209	0.3534306	0.9372279	0.5025721	0.3123861	0.1270258	0.9134815	0.2837866	1.0000000
450	0.7840419	0.9593362	0.3509662	0.9368200	0.5013135	0.3149194	0.1271489	0.9135278	0.2837979	1.0000000
500	0.7838924	0.9587272	0.3490726	0.9366241	0.5024213	0.3155372	0.1271959	0.9135437	0.2837942	1.0000000
550	0.7838862	0.9582986	0.3555200	0.8412195	0.5504825	0.3153891	0.1271732	0.9176475	0.3226672	1.0000000
600	0.7844725	0.9579518	0.3888471	0.7936921	0.5882538	0.3196186	0.1265571	0.9300667	0.3511991	1.0000000
650	0.7858907	0.9561676	0.4257353	0.7878201	0.5914120	0.3336187	0.1250369	0.9392074	0.3602614	1.0000000
