YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.3931409	0.2739210	0.4685538	0.6936767	0.9096578	0.1880951	0.9701446	0.4566173	0.8360461	1.0092954
0.7173751	0.0832871	0.4060872	0.7873255	0.7690540	0.1805150	0.9058786	0.5648195	0.8136686	1.0073096
0.5884578	0.2052601	0.2013298	0.6102278	0.7653927	0.2153844	0.8949658	0.4679719	0.7613167	1.0129903
0.7510590	0.3455422	0.1441576	0.3242108	0.7867479	0.2171772	0.9018885	0.3652293	0.7280827	0.9865786
0.9637555	0.8548459	0.5773770	0.9601773	0.4485865	0.2150923	0.7934569	0.4789101	0.7505885	1.0766685
0.5382355	0.1369454	0.3123152	0.5652756	0.9586309	0.0971838	0.9540148	0.4656507	0.7803703	1.0041817
1.1100026	1.0262534	0.5216283	1.0407315	0.0475300	0.6391114	0.3992710	0.3998347	0.6880960	0.8928092
0.6023472	0.1590914	0.3138055	0.5356970	1.0035525	0.2040589	1.0495302	0.2665341	0.7630011	0.9586927
0.5778814	0.2541267	0.4104820	0.6500176	0.8050616	0.2292624	1.0411776	0.1008695	0.3993359	0.9794930
0.5412584	0.1952627	0.3457799	0.6381573	0.8720674	0.1893836	1.0890881	0.0152625	0.2558593	0.4733411
