YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.1168195	0.0744362	0.1386470	0.7799728	0.0754198	0.0032874	0.1728951	0.6959991	0.2889129	0.8754242
0.5610418	0.0001966	0.3141600	0.4798580	0.1104627	0.0019512	0.1990267	0.2329490	0.1608604	0.9165442
0.1342114	0.1024519	0.0094877	0.9233032	0.0398004	0.0177925	0.1999435	0.5289113	0.2761806	1.0466317
0.0048039	0.0041887	0.4297080	0.0398830	0.5221957	0.0980513	0.2108833	0.3328842	0.2201205	0.9313956
0.2551833	0.2738833	0.3416739	0.0297638	0.5229344	0.0606106	0.0944889	0.4391334	0.0524954	0.6819960
0.2284650	0.2084838	0.2270062	0.6271607	0.0455383	0.0595570	0.2269061	0.3192919	0.2644220	1.1064409
0.1450400	0.0025183	0.2618176	0.5439621	0.1173803	0.0808588	0.4267855	0.2027424	0.1157675	0.8205102
0.1016741	0.1600506	0.0213611	0.7787967	0.0704409	0.0640520	0.1195965	0.5954535	0.2352106	1.0588039
0.0008423	0.0009169	0.0015538	0.7311535	0.0024318	0.0625266	0.1921414	0.5690194	0.2298799	1.0086651
0.1853229	0.0023266	0.3121122	1.0256717	0.0058217	0.0803825	0.2001053	0.7485650	0.2473760	1.0137337
