"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W

0	0.0938049	0.0375774	0.6501005	0.8010024	0.9907594	0.0671150	0.0663712	0.2897708	0.5232187	0.0117585
50	0.0931333	0.0325421	0.6509674	0.7699559	0.5766400	0.0550538	0.0106613	0.3943844	0.8418632	0.0116856
100	0.0919922	0.0323437	0.6665986	0.6587671	0.4705901	0.0427050	0.0023394	0.4972474	0.8729945	0.0116259
150	0.0915311	0.0336494	0.7143798	0.5346057	0.4439899	0.0382864	0.0007458	0.5336882	0.8760391	0.0116026
200	0.0918697	0.0365780	0.7836790	0.4479076	0.4374624	0.0369108	0.0004137	0.5443746	0.8763385	0.0115937
250	0.0930509	0.0412165	0.8491327	0.3991660	0.4359068	0.0364907	0.0003325	0.5473411	0.8763687	0.0115902
300	0.0951002	0.0468955	0.8971387	0.3745940	0.4355541	0.0363628	0.0003096	0.5481497	0.8763722	0.0115889
350	0.0978079	0.0523811	0.9276593	0.3629256	0.4354813	0.0363239	0.0003026	0.5483688	0.8763730	0.0115884
400	0.1006954	0.0567054	0.9455737	0.3575732	0.4354693	0.0363121	0.0003004	0.5484282	0.8763736	0.0115882
450	0.1032577	0.0596152	0.9556087	0.3551677	0.4354686	0.0363085	0.0002998	0.5484445	0.8763741	0.0115882
500	0.1052105	0.0613604	0.9610633	0.3540997	0.4354693	0.0363074	0.0002996	0.5484491	0.8763746	0.0115881
550	0.1070487	0.0625227	0.9630223	0.4282290	0.8529035	0.0367325	0.0196881	0.4545816	0.5577379	0.0115883
600	0.1067273	0.0529316	0.9518341	0.5810343	0.9607555	0.0382933	0.0255034	0.3468664	0.5266100	0.0115896
650	0.1033649	0.0451957	0.9143234	0.6891416	0.9885074	0.0405024	0.0359361	0.3064504	0.5235655	0.0115932
700	0.0995954	0.0410850	0.8549307	0.7485039	0.9954431	0.0448288	0.0492393	0.2944031	0.5232657	0.0116055
750	0.0969090	0.0391717	0.7921654	0.7780586	0.9967332	0.0515162	0.0588399	0.2910405	0.5232346	0.0116356
800	0.0953553	0.0383006	0.7402464	0.7919568	0.9961727	0.0581219	0.0635580	0.2901214	0.5232291	0.0116768
850	0.0945477	0.0379015	0.7033600	0.7981435	0.9948778	0.0626873	0.0654154	0.2898708	0.5232259	0.0117126
900	0.0941506	0.0377182	0.6796643	0.8006552	0.9934697	0.0651698	0.0660625	0.2898013	0.5232231	0.0117356
950	0.0939612	0.0376345	0.6655246	0.8014828	0.9923362	0.0663254	0.0662736	0.2897812	0.5232211	0.0117479
1000	0.0938725	0.0375973	0.6575891	0.8016048	0.9915896	0.0668114	0.0663402	0.2897747	0.5232199	0.0117538

0	0.0938049	0.0375774	0.6501005	0.8010024	0.9907594	0.0671150	0.0663712	0.2897708	0.5232187	0.0117585
50	0.2165200	0.0949098	0.6471866	0.8304710	0.9910098	0.0583630	0.0195337	0.5619099	0.0575162	0.4120817
100	0.2745292	0.2352405	0.6376746	0.8434634	0.9929773	0.0447553	0.0048703	0.6129587	0.0110245	0.5653414
150	0.3409819	0.3355154	0.6263026	0.8494364	0.9954725	0.0390097	0.0020865	0.6262752	0.0080215	0.6240206
200	0.3991973	0.3864978	0.6166437	0.8524011	0.9970648	0.0371482	0.0015168	0.6298676	0.0137302	0.6464876
250	0.4367877	0.4094273	0.6096544	0.8539556	0.9978452	0.0365715	0.0013782	0.6308725	0.0209827	0.6550898
300	0.4572000	0.4191745	0.6050265	0.8547808	0.9981868	0.0363943	0.0013395	0.6311994	0.0261119	0.6583834
350	0.4672156	0.4231882	0.6021281	0.8552126	0.9983277	0.0363400	0.0013276	0.6313351	0.0288841	0.6596444
