"Time"	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C

0	0.3516823	0.9630764	0.9287007	0.1011825	1.0090779	0.9591755	1.0337277	1.0757530	0.9631316	1.0094493
50	0.3405982	1.0456848	0.9854848	0.1359083	0.9147500	0.9448850	1.0493918	1.0700040	0.9683254	1.0364275
100	0.3759193	1.0880513	0.9163768	0.0912895	0.9663278	0.8567124	0.9916228	1.0257797	1.0326041	0.8208905
150	0.3337856	1.0405550	0.9123544	0.0772514	1.0328324	0.8078685	1.0465273	0.9143988	1.0338583	0.8451212
200	0.3167970	1.0559755	0.9010556	0.1307943	0.9930651	0.7617370	1.0123447	0.9174347	1.1333200	0.9158333
250	0.3199876	1.1432488	0.9279808	0.1546083	1.0086939	0.7652432	0.8935964	0.9465263	1.0488399	0.9485071
300	0.3124389	1.0066235	0.9380613	0.1771758	1.0320257	0.7237055	0.9787754	1.0162749	1.0976401	0.9861119
350	0.3084497	0.9583435	0.9351342	0.1509348	0.9399913	0.7230228	0.9925386	1.0363405	0.9987379	0.9498720
400	0.3051103	1.0475704	0.9261943	0.1809635	0.9452469	0.6817900	0.8792474	1.0050261	0.9796801	0.8757107
450	0.3269998	1.0598754	0.9568149	0.1599747	0.9967680	0.6687338	0.8710771	0.9982579	0.9313313	0.8611382
500	0.3194878	1.0626200	0.9471772	0.1433749	0.9526755	0.7044639	1.0303221	0.9761663	0.9572960	0.8865247
550	0.3172348	0.9084162	0.9168394	0.1584804	0.9485821	0.8426836	0.9361147	1.0590243	1.0186607	0.9808018
600	0.2962761	0.9400029	0.8961978	0.1537461	0.9707760	1.0274011	0.9029855	0.9914869	0.9871628	0.9741037
650	0.3456158	0.9995616	0.8723533	0.1204379	0.9484314	0.9755224	0.9469578	0.9983607	1.0636649	0.9889410
700	0.3730278	1.0918206	0.9082411	0.1214912	0.9322276	0.9428079	0.9997416	1.0249096	1.0437523	0.9338820
750	0.3406906	1.0409558	0.9285372	0.1325522	1.0616062	0.9393437	0.9615489	1.0851643	1.0319948	1.0456118
800	0.3909306	0.9445478	0.9933152	0.1466724	1.0112614	1.0361936	0.9655617	1.0185634	0.9694874	1.1020893
850	0.4022361	0.9575635	0.9256114	0.1362253	1.0979427	1.0303315	0.9963740	0.9323790	1.1144603	1.0166576
900	0.3321182	0.9982090	0.9229672	0.1001197	1.0076020	1.0233199	1.0603500	0.9641441	0.9026052	1.0553552
950	0.3210998	1.1028549	0.9729788	0.1220402	0.8669434	0.9880686	1.0278237	1.1307738	0.9580846	1.0345346
1000	0.3512364	0.9155902	0.9087323	0.1482513	0.9834097	1.0193837	1.0326990	1.1367987	1.1050593	0.9621440

0	0.3516823	0.9630764	0.9287007	0.1011825	1.0090779	0.9591755	1.0337277	1.0757530	0.9631316	1.0094493
50	0.4389337	1.0114122	0.8436952	0.1203851	1.0977269	0.9139064	1.0200804	0.7840898	0.9691627	1.1370936
100	0.5669067	1.0739970	0.8588599	0.1082773	1.1406128	1.0198682	0.9876649	0.5194240	0.9000087	1.0405278
150	0.6418923	1.0629850	0.8572516	0.1369858	1.1588411	1.0401576	0.9279802	0.3586798	0.9005105	0.9726694
200	0.7337696	1.0598805	0.9204520	0.0929439	0.9737284	0.9710901	1.0130647	0.2908305	0.9523216	0.9937066
250	0.6157379	0.9650526	0.9577174	0.0801818	0.9787274	1.0496457	1.0475868	0.2515766	0.9910615	0.9174699
300	0.7313906	0.9940574	0.9099381	0.1354990	1.1244466	0.9925289	0.9532397	0.2794935	0.9810842	0.9556846
350	0.7663148	1.0101766	0.9189507	0.1241298	0.9944295	1.0840509	0.9309530	0.3243540	0.9287967	0.9059361
400	0.8269092	0.9899888	0.8796452	0.1451499	1.0210499	1.0667823	0.8325634	0.2927065	0.9944425	0.9397348
450	0.7666699	1.1174082	0.8269936	0.1041900	1.0076274	0.9776325	0.8966218	0.2369809	1.0128995	0.9972948
500	0.8345822	0.9982295	0.8645035	0.1369747	0.9580300	0.9859841	0.9459949	0.2480177	1.0140506	0.9210785
550	0.6047221	1.0038832	0.9227879	0.1437486	0.9712647	0.9840141	0.8409725	0.4830164	1.0955219	1.0050978
600	0.5336798	1.0297202	1.0231895	0.1481067	0.9548013	0.9921569	0.8516729	0.7242970	1.0410090	1.0680134
650	0.5068890	0.9859970	0.9781177	0.1642467	0.9223725	1.0757361	0.9430920	0.8776773	1.0589497	1.0538240
700	0.4495676	0.9357279	0.9280556	0.1456407	0.9848789	0.9749410	1.0159866	0.9702471	1.0500687	1.0949149
750	0.3476910	1.1023831	0.9760613	0.1303893	1.0333306	1.0256123	0.9994282	0.8722611	0.9578815	1.0557904
800	0.3646432	1.0953907	0.9759450	0.1112076	1.0593338	1.0114446	0.9865991	0.9980493	1.0079873	1.0274075
850	0.3873271	1.1069357	1.0098744	0.1177654	0.9700819	0.9725623	0.9891207	0.9821727	1.0116662	0.9943066
900	0.3931254	1.0617137	1.0149956	0.1078844	1.1144199	1.0150857	1.0154651	0.9746533	0.9718741	1.0757082
950	0.4210363	1.1150265	0.8707850	0.1273100	1.1538677	1.0099751	1.0471292	0.9052060	0.9523196	0.9796044
1000	0.4290873	1.0046756	1.0144082	0.1505978	1.0173104	1.0616235	1.0441329	0.9386322	1.0954663	1.0058158

0	0.3516823	0.9630764	0.9287007	0.1011825	1.0090779	0.9591755	1.0337277	1.0757530	0.9631316	1.0094493
50	0.4339380	1.0790978	0.8965228	0.1006972	0.8407201	1.0057955	0.8837008	1.0477541	0.9352558	0.7466834
100	0.5477652	1.0791675	0.9699541	0.1150557	0.6625002	1.1342347	0.9408976	1.0543361	0.9654669	0.4660971
150	0.6028646	1.0641432	0.9052234	0.0990714	0.6645417	1.0104420	0.9636778	0.9754886	0.9618324	0.2462093
200	0.6173383	1.0508283	0.9297443	0.1464460	0.6151934	1.0259160	0.9438177	0.9770361	0.9157985	0.2315905
250	0.6709414	0.9737564	0.9687598	0.1361596	0.6551708	0.9639091	0.9090302	0.9335580	0.9615304	0.1767854
300	0.6596951	0.9536720	0.9180744	0.1575797	0.6432671	1.0223325	1.0099607	1.0289198	0.9857842	0.2166657
350	0.5914267	0.9266953	0.8377739	0.1151639	0.6039389	0.9831753	0.8992386	0.9408370	1.0835979	0.1976028
400	0.6572802	0.9869620	0.8345561	0.1371158	0.5144852	1.0487038	0.9926114	1.0197076	1.0408462	0.2074324
450	0.5159696	0.9004461	0.9300522	0.1880487	0.6047876	1.0708907	1.0498537	0.9711170	1.0243328	0.2349969
500	0.5461901	0.9333153	0.9660441	0.1327377	0.5782956	0.9745109	1.0175529	1.0308471	0.9381475	0.1629241
550	0.4951185	0.9017480	0.8400602	0.1790818	0.7879097	1.0825358	1.0527040	0.9606839	0.9615064	0.4598748
600	0.4192486	1.0010225	0.8977643	0.1590138	0.8298888	1.0243881	1.1059783	1.0160719	0.8732064	0.7630533
650	0.3866821	1.0592781	0.9227960	0.1436547	0.9294883	1.0231328	1.1403572	1.0596812	0.9881199	0.8677148
700	0.4635668	1.0945099	0.9413555	0.1258535	0.9521663	0.9324172	1.0148490	1.0018225	0.9677216	0.9761138
750	0.4110117	0.9700771	0.9135222	0.1155003	1.0276243	0.9553213	1.0142979	0.9496324	0.9638058	0.9857107
800	0.3612034	0.9398422	0.9213176	0.1007859	0.9236805	0.9797709	0.9616964	1.0593613	1.0095172	0.9463886
850	0.2929732	0.9342797	0.8247468	0.1089173	0.9385204	0.9052217	1.1361954	0.9572635	0.9629903	0.9934691
900	0.3047560	0.9700390	0.8667131	0.1329776	1.0305015	0.9382157	1.0120008	1.0098883	1.0347445	1.0126427
950	0.3084191	1.0421031	0.8827018	0.1213051	0.9722923	1.0938712	0.9682725	0.9883669	1.0368183	0.9399202
1000	0.3828815	0.9394433	0.9796029	0.1407914	1.0783234	1.0733395	0.8881747	1.1406418	1.1091950	0.9719213

0	0.3516823	0.9630764	0.9287007	0.1011825	1.0090779	0.9591755	1.0337277	1.0757530	0.9631316	1.0094493
50	0.3388832	0.9862571	0.8985843	0.1527862	0.9721579	0.9491080	0.9910615	1.0789349	0.9144658	1.0313349
100	0.3599393	1.0158814	0.9545494	0.1593985	1.0193180	0.7719712	0.9799988	0.9902984	0.9505254	0.9987150
150	0.3771308	0.9925058	0.9719759	0.1547216	0.9335027	0.6374667	0.9666905	0.9412818	0.9329379	0.9697899
200	0.3731784	0.9280719	1.1107836	0.1469513	1.0797790	0.6029086	0.9578400	0.9480657	0.8625189	1.0633588
250	0.2965568	0.9820526	1.0895358	0.1410302	1.0352812	0.6390222	0.9372351	0.9612009	0.9825220	1.0014943
300	0.3141258	1.0288168	1.0485870	0.1545713	1.0338268	0.5615580	1.0249356	1.0530451	1.0394300	1.0554516
350	0.2735696	1.0683567	0.9549554	0.1326571	1.0696653	0.5402483	1.1307462	0.9999647	1.0756066	1.0567140
400	0.3099419	1.0387877	0.9470419	0.1208251	0.9924255	0.5188592	1.0428595	1.0195074	1.0789358	0.9392045
450	0.3546857	1.0093569	0.9878672	0.1428905	0.9894820	0.5268481	1.0801279	1.0135019	1.0373308	0.8714390
500	0.2986717	0.9943777	0.9592211	0.1458138	0.9967721	0.4972131	1.0816342	0.9267598	1.0308773	0.8184307
550	0.2234401	0.9845009	0.9360541	0.1214022	1.0598067	0.6374200	1.0537671	0.8849141	0.9628269	0.9071819
600	0.2257475	0.9586660	0.8880810	0.1053386	0.9895917	0.8620606	1.0596558	0.9025161	0.9636456	0.9541537
650	0.2770652	1.0609958	1.0136550	0.1263812	0.9726046	0.9215800	0.8941852	0.9336577	0.9151491	1.1105706
700	0.3211024	1.0627190	0.9424497	0.1166213	1.0088709	0.9485957	0.8082503	0.9613682	0.9050794	1.0903406
750	0.3283093	1.0697005	0.9071366	0.1120550	1.0219487	0.9467367	0.9657166	1.0551631	1.0234233	0.9859274
800	0.3721115	1.0695617	0.8640495	0.0869710	0.9991826	0.9451323	0.9900338	0.9782937	1.0082818	0.9533489
850	0.4732924	1.0474350	0.9026736	0.1185269	0.9714227	1.1006885	1.0315868	1.0528347	1.0304618	0.9387385
900	0.4471781	1.1355012	0.9328866	0.1072370	0.9010722	1.0387076	0.8748802	0.9866340	1.0576732	1.0269052
950	0.4101178	1.0665280	0.9198252	0.0833406	0.9376880	0.9206648	0.9324665	1.0276059	1.0315768	1.0720680
1000	0.3841416	1.0825711	0.9649225	0.1133044	1.0009599	0.9769914	1.0195234	1.0068887	0.9370384	1.0948954

