YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.4504289	0.6075985	0.3768867	0.7467424	0.5053650	0.9097183	0.2440491	0.4738610	0.9254572	1.0000000
0.4857548	0.3025387	0.3766854	0.7472625	0.5042494	0.9068960	0.2490049	0.4761092	0.9254572	1.0000000
0.9287167	0.6768578	0.1880761	0.7492536	0.5008670	0.8986925	0.2632438	0.4824246	0.9254572	1.0000000
0.9157543	0.6416467	0.2636677	0.3746416	0.5008829	0.8987344	0.2631704	0.4823922	0.9254572	1.0000000
0.8986532	0.6018303	0.3653282	0.9008830	0.2504496	0.8987811	0.2630717	0.4823541	0.9254572	1.0000000
0.8987424	0.6021222	0.3644423	0.8890511	0.2706677	0.4493933	0.2630719	0.4823541	0.9254572	1.0000000
0.9207402	0.6537476	0.3800965	0.7359373	0.5235458	0.9552668	0.1555735	0.4325087	0.9254572	1.0000000
0.9506626	0.7585810	0.3670902	0.7926605	0.4290237	0.7385015	0.5237827	0.2868356	0.9254572	1.0000000
0.9424696	0.7230830	0.3547722	0.7690055	0.4673910	0.8206094	0.3920132	0.3664816	0.4627394	1.0000000
0.9328860	0.6887391	0.3636876	0.7610822	0.4806261	0.8506053	0.3436572	0.4035758	0.5908328	0.5000000
