YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0005026	0.0042705	0.0492463	0.5064476	0.2701566	0.5877695	0.7374770	0.6906681	0.6217629	0.4285506
0.0020001	0.0259109	0.0636143	0.4223407	0.0396201	0.4857554	0.3515517	0.7556171	0.3439331	0.1190384
0.5433634	0.4886568	0.6412389	0.0119961	0.5513727	0.7870226	0.6972472	0.7095527	0.0008991	0.0158117
0.0733853	0.1195609	0.0368897	0.4504023	0.3470277	0.7994955	0.7210304	0.5764542	0.5030790	0.2939932
0.6208796	0.3842039	0.6372768	0.0098067	0.2379640	0.5650301	0.5841108	0.3520282	0.1603231	0.0597130
0.3013093	0.2071817	0.0432491	0.4089090	0.2532280	0.6413974	0.6505237	0.7836064	0.7118248	0.3629485
0.0186068	0.1138415	0.0449262	0.3415267	0.3234524	0.7171033	0.6281652	0.6748665	0.0000019	0.0054447
0.0870900	0.1121777	0.2974531	0.1804256	0.2955233	0.5791304	0.4614717	0.7334820	0.2549877	0.1503681
0.3056683	0.2100597	0.0208996	0.6532017	0.0434121	0.4855898	0.4329681	0.7457274	0.0000901	0.0045943
0.1616823	0.1104158	0.2909328	0.1092395	0.2429024	0.6031133	0.6645859	0.7082580	0.0121632	0.1016184
