YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.2200811	0.6984304	0.4857460	0.4651731	0.2449841	0.4991846	0.4116684	0.2183094	0.3901239	0.8215424
0.6253116	0.3212553	0.4163931	0.6612900	0.1913013	0.2964888	0.5507376	0.2369680	0.4425119	0.7302935
0.4191657	0.7721499	0.2153676	0.5864003	0.2371524	0.3631299	0.4322963	0.2991155	0.5951532	0.8105599
0.4226030	0.7935809	0.5481485	0.3278340	0.1777169	0.3535273	0.4408461	0.2951992	0.4707794	0.7271383
0.3086024	0.7866954	0.1881243	0.7895610	0.0802561	0.3120933	0.5863301	0.2520469	0.5258704	0.7946526
0.3003522	0.7095250	0.2394994	0.7591698	0.1145780	0.1826448	0.5746492	0.3391272	0.3958051	0.8590290
0.2973030	0.8496967	0.2806265	0.4964414	0.2400433	0.4796666	0.2254045	0.1817005	0.4511144	0.8642192
0.3874529	0.7326123	0.3941193	0.7966453	0.1914920	0.3302150	0.5804870	0.1389904	0.3929210	0.8503384
0.3210517	0.7472707	0.3790482	0.5570329	0.2327484	0.3894183	0.4108388	0.3937985	0.2631585	0.8073239
0.4290350	0.6723101	0.3181263	0.6777150	0.2354386	0.4096561	0.3936076	0.3083377	0.3633232	0.4222562
