YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.0000000	0.1736035	0.9815445	0.1264876	0.3906181	1.0112153	0.0468590	0.6706375	0.1642903	0.0634908
0.9069118	0.0000000	1.0136900	0.4383284	0.5300926	0.9822855	0.4918742	0.7385196	0.2985170	0.1293350
0.2717094	0.9695529	0.0000000	0.0478907	0.4370163	0.9641858	0.0161609	0.6482359	0.1261218	0.0452175
0.6401474	0.2495183	0.9619035	0.0000000	0.4671772	0.9314030	0.0230095	0.7240516	0.1259588	0.0496632
0.6192535	0.1817829	0.9833443	0.2295620	0.0000000	0.9588060	0.0257965	0.6703872	0.0950332	0.0405271
0.6404222	0.1548624	0.9731148	0.1849123	0.0602282	0.0000000	0.0149431	0.1164646	0.1192872	0.0377774
0.7123161	0.1854624	0.9990869	0.3272638	0.5727192	1.0794467	0.0000000	0.7099389	0.1344432	0.0679491
0.6987048	0.1997036	0.9931755	0.3222768	0.5394125	1.0416987	0.0221656	0.0000000	0.1412664	0.0526868
0.6069238	0.2235372	1.1207833	0.3158712	0.5412378	0.9879392	0.0205706	0.6640484	0.0000000	0.0503625
0.6927625	0.1638675	1.0078593	0.3435273	0.5109890	1.0850602	0.0232438	0.6285498	0.0590239	0.0000000
