"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W

0	0.0966791	0.0367728	0.5790370	0.7690190	1.1123131	0.0507511	0.0761328	0.3267313	0.5598073	0.0059230
50	0.0960522	0.0599782	0.6269722	0.8054170	0.7098659	0.0601892	0.0225694	0.2795564	0.7630910	0.0162448
100	0.0886220	0.0390172	0.6758111	0.6794320	0.5503975	0.0604227	0.0069751	0.3549974	0.8794810	0.0096909
150	0.1024238	0.0524259	0.7073096	0.6037600	0.5169264	0.0524134	0.0022082	0.4810961	0.9998938	0.0129532
200	0.1240248	0.0494773	0.6748783	0.5384485	0.4569829	0.0440690	0.0042687	0.6151514	0.9286323	0.0164198
250	0.1233237	0.0372800	0.8646049	0.5055162	0.4639202	0.0269616	0.0025056	0.6188521	0.7961316	0.0091770
300	0.0951491	0.0618157	0.8609457	0.4413163	0.5082665	0.0351786	0.0045114	0.5890519	0.9164147	0.0020936
350	0.0880635	0.0466205	0.9636064	0.3941571	0.4487924	0.0328938	0.0000000	0.5577208	0.8559459	0.0076827
400	0.0967891	0.0284367	0.9709934	0.4047508	0.5043278	0.0383101	0.0021093	0.5174562	0.8163323	0.0097594
450	0.1007943	0.0253407	0.9598790	0.4014886	0.5456040	0.0363558	0.0013820	0.5905855	0.8448724	0.0163448
500	0.0920012	0.0616983	0.9374230	0.3633608	0.4710169	0.0362296	0.0000627	0.5216893	0.8550293	0.0078356
550	0.0888633	0.0969471	0.9755685	0.4354373	0.6806453	0.0401997	0.0301730	0.5221374	0.4896879	0.0099361
600	0.1244786	0.0681212	0.9567842	0.4366701	0.9156476	0.0459378	0.0269829	0.4000722	0.5581455	0.0086923
650	0.1081372	0.0160262	0.8313820	0.6031179	0.9994308	0.0455189	0.0193628	0.2509846	0.5179105	0.0121241
700	0.0796349	0.0227365	0.8891364	0.7888266	1.0591900	0.0370523	0.0865021	0.2835322	0.5970618	0.0196033
750	0.0780447	0.0164587	0.7408649	0.7489456	1.2344319	0.0493717	0.0524300	0.3512971	0.5420719	0.0165090
800	0.1075694	0.0255016	0.6782283	0.8255136	1.0294137	0.0522582	0.0780386	0.3312806	0.4767126	0.0169726
850	0.1131413	0.0367846	0.6181902	0.8545229	0.9445303	0.0680919	0.0485212	0.2940492	0.4502784	0.0185283
900	0.0827223	0.0479935	0.6080767	0.7813541	1.0572954	0.0462619	0.0930688	0.2558788	0.5105171	0.0025644
950	0.0845973	0.0307959	0.6977344	0.8069271	1.0259837	0.0675637	0.1074463	0.3314163	0.5834227	0.0015508
1000	0.0973593	0.0446864	0.7700850	0.7658819	0.9377159	0.0700467	0.0789702	0.2825052	0.5067026	0.0012743

0	0.0966791	0.0367728	0.5790370	0.7690190	1.1123131	0.0507511	0.0761328	0.3267313	0.5598073	0.0059230
50	0.1439426	0.0856261	0.6348043	0.8520872	0.9945193	0.0688590	0.0374548	0.4583090	0.0897012	0.2505853
100	0.2991315	0.2013140	0.6755677	0.8267597	0.9509285	0.0420223	0.0133434	0.6506306	0.0067074	0.3894768
150	0.3820134	0.2635952	0.6303236	0.8473769	0.9089309	0.0383003	0.0016782	0.6292742	0.0290842	0.5699135
200	0.3437082	0.3038243	0.6613281	0.8483470	1.0390738	0.0448956	0.0023925	0.5995265	0.0133984	0.5834532
250	0.3654739	0.3459712	0.6999734	0.8693773	1.0500902	0.0371313	0.0099779	0.6542686	0.0140920	0.6289227
300	0.4587369	0.3857148	0.5637692	0.7940874	0.9211248	0.0335149	0.0030883	0.6810398	0.0182158	0.5980204
350	0.5261334	0.3641694	0.6343715	0.7955464	1.0017478	0.0294797	0.0020841	0.5805491	0.0102892	0.7197655
400	0.4593765	0.3664142	0.5740803	0.9174767	1.1344451	0.0312043	0.0045315	0.6404910	0.0244971	0.6586672
450	0.4613229	0.3589192	0.6043318	0.9823861	1.0760707	0.0679772	0.0043044	0.6565509	0.0172785	0.6458622
500	0.4725933	0.3799815	0.4411020	0.9552153	0.9194288	0.0461593	0.0039060	0.6660528	0.0280662	0.6083271
550	0.3864223	0.3511689	0.4941261	0.8467986	0.9237005	0.0471450	0.0315184	0.3677699	0.3410021	0.3723772
600	0.3282267	0.2813514	0.5703032	0.8399522	0.8867117	0.0545887	0.0998874	0.2320539	0.4606552	0.1446119
650	0.2526212	0.1684227	0.5841874	0.8072847	0.9102590	0.0650527	0.2245719	0.2111959	0.5508925	0.0767517
700	0.2107846	0.1158983	0.5992384	0.8681300	1.0290499	0.1675446	0.1578698	0.2930821	0.5484368	0.0430108
750	0.1621212	0.0791661	0.7112239	0.8266619	1.0482666	0.1677422	0.1144138	0.2561772	0.6066266	0.0259480
800	0.1512239	0.1000065	0.6997831	0.8112870	0.8453369	0.1576063	0.0977751	0.2848154	0.4878592	0.0342448
850	0.1403110	0.0674942	0.6227985	0.8307029	0.9230592	0.1508138	0.0850652	0.3124168	0.5566939	0.0112352
900	0.1031094	0.0564756	0.6361899	0.8117625	0.9407872	0.0999880	0.0700791	0.3147271	0.5508035	0.0121127
950	0.0907504	0.0308025	0.6174214	0.7940138	1.0089434	0.1044478	0.0931681	0.2946661	0.5855995	0.0058753
1000	0.0720471	0.0314541	0.6015030	0.8185014	1.0410779	0.0762350	0.0593971	0.2967241	0.5594327	0.0123342

0	0.0966791	0.0367728	0.5790370	0.7690190	1.1123131	0.0507511	0.0761328	0.3267313	0.5598073	0.0059230
50	0.0957982	0.0261696	0.4539785	0.7575098	0.9420079	0.0819892	0.0459601	0.3738252	0.7355302	0.0132570
100	0.0895864	0.0386584	0.3354564	0.7733217	0.7819957	0.0622898	0.0028705	0.4740171	0.7860906	0.0043881
150	0.0544805	0.0373519	0.2848901	0.7431059	0.7538813	0.0529291	0.0027120	0.4963260	0.7219165	0.0106096
200	0.1155130	0.0310743	0.2172830	0.6494137	0.7158385	0.0351664	0.0015835	0.4297412	0.7850955	0.0168734
250	0.1037523	0.0622890	0.1899185	0.6287057	0.8096398	0.0361249	0.0004529	0.4858031	0.6223084	0.0169813
300	0.1312868	0.0469345	0.1893645	0.6422842	0.8080567	0.0690631	0.0005843	0.5158162	0.7731914	0.0186109
350	0.1255968	0.0526430	0.1771995	0.6447411	0.8488520	0.0513331	0.0026996	0.5509611	0.8401217	0.0141489
400	0.0962272	0.0489408	0.1538175	0.6777089	0.7220226	0.0488319	0.0057607	0.5842029	0.7258208	0.0103953
450	0.1042617	0.0450470	0.1313812	0.6969711	0.7807357	0.0262056	0.0026031	0.5662323	0.7065436	0.0354993
500	0.1067231	0.0656245	0.2238078	0.7022194	0.7420777	0.0321709	0.0190562	0.5129437	0.7541268	0.0152188
550	0.1192199	0.0419857	0.4140762	0.7362204	0.8979112	0.0424985	0.0154064	0.4527909	0.4678386	0.0058868
600	0.1011707	0.0416984	0.5929096	0.8305383	1.0011806	0.0440665	0.0119493	0.3502441	0.6312822	0.0121316
650	0.1102174	0.0358007	0.6186018	0.8266105	1.0563911	0.0456921	0.0473873	0.3234455	0.6460952	0.0202488
700	0.1182827	0.0561291	0.6005197	0.7154612	1.0704845	0.0577916	0.0528002	0.3326075	0.4872475	0.0267514
750	0.1322875	0.0439609	0.6428028	0.7630503	1.0301643	0.0649067	0.0494458	0.2974759	0.4831780	0.0058391
800	0.1296362	0.0695226	0.6213596	0.7382645	0.9468351	0.0648841	0.0514958	0.3407375	0.4754695	0.0038229
850	0.0898660	0.0373540	0.6616873	0.8531729	0.9795682	0.0411675	0.0484339	0.2846411	0.6029085	0.0024771
900	0.0890428	0.0330917	0.6689552	0.8317978	1.0602697	0.0715561	0.0572871	0.2718962	0.5342381	0.0147527
