YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.1053749	0.3788891	0.4287467	0.7370660	0.0476182	0.0050406	0.0325661	0.8697944	0.7567333	0.9149201
0.0463994	0.1889999	0.4672971	0.7170684	0.0213866	0.0147834	0.0340615	0.7090406	0.7400895	0.6334875
0.3645878	0.6863694	0.2177018	0.6928591	0.0405153	0.0178099	0.0349146	0.7615113	0.7479118	0.7789807
0.2119749	0.3734111	0.3560763	0.3295382	0.0414449	0.0165007	0.0272428	0.7890818	0.8086172	0.8298192
0.1706625	0.3768608	0.5228567	0.6905922	0.0278514	0.0162985	0.0242581	0.8060803	0.8085779	0.7637218
0.1986892	0.5130684	0.4635250	0.8364523	0.0156853	0.0025419	0.0764845	0.7115758	0.6907522	0.6219224
0.1928171	0.4489280	0.4229500	0.7593421	0.0310105	0.0203344	0.0200593	0.7367616	0.8569387	0.7299744
0.1009452	0.4520332	0.4592898	0.6130650	0.0225032	0.0102227	0.1096552	0.3575533	0.7762594	0.6584869
0.2608722	0.5661190	0.3254681	0.5976680	0.0067242	0.0276962	0.0532593	0.7385941	0.3807179	0.6913946
0.2049218	0.5863994	0.4089094	0.6702616	0.0420151	0.0044670	0.0355672	0.6269474	0.6460047	0.4322086
