YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.2233864	0.5819343	0.0237137	0.6361923	0.8546964	0.5979271	0.5330201	0.6402020	0.0044428	0.7016400
0.2462134	0.7088737	0.0044878	0.7251999	0.7299971	0.6772853	0.4367152	0.7616809	0.0292622	0.8142992
0.7680812	0.0148266	0.0669927	0.6217031	0.5915370	0.8088864	0.0017772	0.7367015	0.0498384	0.3952072
0.7451340	0.0557475	0.0414405	0.5792741	0.7134819	0.8002457	0.0137874	0.8613481	0.0402365	0.6381310
0.6952222	0.0082304	0.0583052	0.8481132	0.7393436	0.6325045	0.0014799	0.7649049	0.0156004	0.6352540
0.7600103	0.0296510	0.0526379	0.7024535	0.5931761	0.7479598	0.1054773	0.5461283	0.0519379	0.8497658
0.1937670	0.6210514	0.0021694	0.7088789	0.7558717	0.8251319	0.3899849	0.7096833	0.0472203	0.5351291
0.1354519	0.7490129	0.0032361	0.7601322	0.7139033	0.5245309	0.4991004	0.6922234	0.0197988	0.7561404
0.2351354	0.7108708	0.0025710	0.6379189	0.6400744	0.7005049	0.4344078	0.7674267	0.0628308	0.6288102
0.0862923	0.9255051	0.0023594	0.5605096	0.6787783	0.6593600	0.3402332	0.6488642	0.0380460	0.6507873
