YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.4501807	0.0850722	0.0044001	1.0000000	0.9310835	0.3864181	0.9418165	0.9999999	0.9455807	1.0000000
0.9703477	0.0425399	0.0044001	1.0000000	0.9623506	0.4019682	0.9418165	0.9999999	0.9455807	1.0000000
0.9003197	0.0850721	0.0022001	1.0000000	0.9403507	0.3910962	0.9418164	1.0000000	0.9455805	1.0000000
0.9003198	0.0850722	0.0044020	0.5000612	0.9398290	0.3908373	0.9418165	0.9999999	0.9455807	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.4833004	0.1408477	0.9418165	0.9999999	0.9455807	1.0000000
0.9003196	0.0850722	0.0044001	1.0000000	0.9632624	0.2011099	0.9418164	0.9999999	0.9455805	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9662293	0.1505438	0.4709102	0.9999999	0.8447897	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9616847	0.2196863	0.5704145	0.5000000	0.8661873	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9403506	0.3910964	0.9418165	0.9999999	0.4728226	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9403506	0.3910964	0.9418165	0.9999999	0.9164532	0.5001296
