YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.5735842	0.3951498	0.3254261	0.4806867	0.4470478	0.0268800	1.1959341	0.6219598	0.1393059	0.9227706
0.8937104	0.7396892	0.1784357	0.4962890	0.1842824	0.2612984	0.9582980	0.9366067	0.0158097	1.0005963
0.6721594	0.5016223	0.2468607	0.2910117	0.3857687	0.2289774	1.0391312	0.7425837	0.2220642	1.0256310
0.7535479	0.4702674	0.3263713	0.1722184	0.2964987	0.0761869	1.0596593	0.4137951	0.2160033	1.0262441
0.9876354	0.8373283	0.1360817	0.3744519	0.0108336	0.1471635	1.1011637	0.9550357	0.2482006	1.0764354
0.8990184	0.7774297	0.1485931	0.1916198	0.0325770	0.2326267	1.0297555	0.8666439	0.0298085	0.8127039
0.9377591	0.6759669	0.2010432	0.0612540	0.2130210	0.0621940	1.1165837	0.6754137	0.2552887	1.0503430
0.5881457	0.1919963	0.5691916	0.3580370	0.1493763	0.2776783	0.9759478	0.6570857	0.0348949	0.8425581
0.9106857	0.6124648	0.2426571	0.4068316	0.1637092	0.2947515	0.9758416	1.0753717	0.0215777	1.0009194
0.9365460	0.5240688	0.3239379	0.1403965	0.3184123	0.2236704	0.9835370	0.7620453	0.2445552	1.0451568
