YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.0000000	0.5419332	0.7180472	0.5534517	0.8274526	0.3355313	0.0611066	0.1249598	1.0754206	0.9670387
0.7145727	0.0000000	0.7280000	0.5491634	0.8621004	0.3241045	0.0503278	0.1330628	1.0560350	1.0416157
1.0496537	0.0988515	0.0000000	0.1988494	0.3907196	0.0577845	0.0416910	0.1168977	1.0978031	1.0057217
1.0227840	0.6265125	0.9872079	0.0000000	0.9820009	0.3526531	0.0613753	0.1512116	1.0024982	0.9514217
1.0273813	0.6851803	0.9544915	0.0205637	0.0000000	0.3862523	0.0613874	0.1185009	1.0617051	1.0359668
1.0024453	0.6352853	0.9746146	0.0145292	0.0791192	0.0000000	0.0910509	0.1118759	0.9128648	0.0001557
0.8433452	0.5103282	0.6737270	0.6034904	0.9171649	0.3026189	0.0000000	0.0965722	1.0126127	0.9391278
0.4683854	0.5024830	0.6414817	0.6011545	0.8655690	0.3164184	0.0622766	0.0000000	0.9934199	0.9905593
0.5583764	0.5271065	0.6280786	0.6845479	1.0091692	0.6324556	0.6184248	0.9659399	0.0000000	1.0780643
0.7494786	0.5825596	0.7196616	0.6193658	0.8606392	0.3109925	0.0503446	0.1349978	1.0070615	0.0000000
