"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	1.0589753	0.0363004	0.3717608	0.7798222	0.6104201	0.4461810	0.1879489	0.8995813	0.4046263	0.9228718
50	1.0336287	0.0391890	0.3369686	0.9320274	0.6963260	0.4808644	0.2471827	0.7349138	0.3562935	0.6729141
100	1.1095250	0.0313333	0.2791216	0.9865037	0.6348856	0.4810485	0.3054273	0.5026523	0.6612476	0.3592638
150	0.9856167	0.0273482	0.2807455	0.8717068	0.6589196	0.4144773	0.3938985	0.3163775	0.7293314	0.2053215
200	0.9593852	0.0179858	0.2420740	0.9002451	0.6737101	0.4204387	0.6378513	0.2079152	0.8441816	0.1399099
250	0.9840974	0.0210933	0.2762784	0.8677794	0.7483443	0.4343821	0.8164034	0.1222769	0.9147677	0.0928632
300	1.0174490	0.0253969	0.3300424	0.8924403	0.8823653	0.3519584	0.8972729	0.1343227	1.0484546	0.0930081
350	1.0813576	0.0114325	0.2998136	1.0149110	0.9053788	0.2783993	0.8622085	0.1144202	1.0285829	0.0741205
400	1.0215016	0.0324432	0.2939417	1.0360951	0.9144447	0.2801931	0.8066582	0.1009381	1.0267907	0.0726900
450	1.0983763	0.0342544	0.2972930	1.0444542	0.8524033	0.2580137	0.9653884	0.0944836	1.0075154	0.0727490
500	0.9821061	0.0377595	0.3071322	1.0276386	0.8656300	0.3190694	0.8927127	0.0973114	1.0643057	0.0401901
550	1.0828565	0.0326796	0.2846645	1.0175058	0.9277971	0.2809889	0.8132447	0.1390127	0.9932077	0.3997622
600	1.0335306	0.0360838	0.2517540	0.8925564	0.9284021	0.2557738	0.8950165	0.2197269	0.9002935	0.8271166
650	1.0011610	0.0403750	0.2136127	0.9067657	0.8941755	0.2603920	0.8091738	0.3407310	0.5957075	0.9275421
700	0.9740166	0.0514192	0.2192330	0.8758466	0.9069825	0.2488429	0.6352941	0.6127704	0.4916347	0.9410536
750	1.0925792	0.0485471	0.2442790	1.0039370	0.8437870	0.2984565	0.4546020	0.7021978	0.4529485	0.8783215
800	1.0410428	0.0329920	0.2697622	0.9284422	0.8435517	0.2758072	0.3992991	0.7129838	0.4169147	0.9476584
850	1.0440485	0.0416603	0.3168718	0.8818732	0.7381437	0.3714249	0.3693168	0.8436327	0.3704394	0.9467940
900	1.0864345	0.0321577	0.3403350	0.8562662	0.6759042	0.3633316	0.3146424	0.8245415	0.4313923	1.0511986
950	1.0148120	0.0308037	0.3363722	0.8147972	0.6980936	0.3949929	0.2671809	0.8019051	0.3231707	1.0187323
1000	1.0439335	0.0202761	0.3706324	0.8079670	0.6947285	0.4273334	0.2293870	0.9282441	0.3158563	0.9646275

0	1.0589753	0.0363004	0.3717608	0.7798222	0.6104201	0.4461810	0.1879489	0.8995813	0.4046263	0.9228718
50	1.0419507	0.2099000	0.3167489	0.8197042	0.7224222	0.4290165	0.2028467	0.8782691	0.4170193	0.9494440
100	0.7913416	0.2800104	0.3132673	0.9075342	0.7748633	0.3939298	0.1928202	0.8790774	0.3978547	0.9225448
150	0.4735307	0.3123648	0.2442665	0.9145112	0.7906241	0.3936918	0.1607255	0.8707190	0.4032546	0.9310546
200	0.2872902	0.3944671	0.2744671	0.8484761	0.7316968	0.4066133	0.1875659	0.9047065	0.3842108	0.8946466
250	0.1166976	0.3805802	0.2841068	0.9812982	0.7299746	0.3816204	0.1985350	0.8578400	0.3479318	0.9392245
300	0.0730814	0.3403305	0.2623511	0.9522743	0.7151827	0.3830377	0.2253855	0.8698898	0.3971802	0.9020110
350	0.0544216	0.3832996	0.3297065	0.9202468	0.7754837	0.4588856	0.1603251	0.9543834	0.4084936	0.9499616
400	0.0590996	0.3803728	0.3290849	0.8492366	0.8286816	0.4819943	0.2227639	0.8221170	0.3920508	0.9709517
450	0.0745714	0.3369415	0.3294631	0.9106522	0.8164518	0.3636855	0.2614734	0.7791461	0.4943271	0.9145142
500	0.0462437	0.3897049	0.3250160	0.8647197	0.8079901	0.4239388	0.2659837	0.7613543	0.4242522	0.8679807
550	0.0708005	0.2078840	0.3319601	0.8362759	0.8100807	0.4027791	0.3368634	0.7437169	0.4571903	1.0048719
600	0.1784648	0.1090632	0.3072216	0.7951421	0.7468586	0.3666842	0.2769203	0.7617992	0.4262426	0.8444620
650	0.4073992	0.0863446	0.3190284	0.9464690	0.5793276	0.3862375	0.2751282	0.8621557	0.4378625	0.9163819
700	0.7150353	0.0377780	0.2957128	0.8995430	0.5595054	0.3548336	0.2141502	0.8461431	0.4523641	0.9374663
750	0.7555599	0.0254801	0.2931833	0.7366881	0.5456787	0.4041254	0.2369685	0.7423765	0.4125424	0.9773198
800	0.8438365	0.0270463	0.3008630	0.7204016	0.5505961	0.4189543	0.2242716	0.7565878	0.4262889	1.0289280
850	0.9266082	0.0170898	0.3445539	0.7730135	0.6337462	0.4465129	0.2552164	0.7877364	0.4110205	0.9355878
900	0.9933110	0.0190188	0.3912260	0.7316803	0.6020034	0.4309852	0.2040083	0.8559220	0.3891805	0.9926728
950	1.0081447	0.0241473	0.4419982	0.7230824	0.5584256	0.4352036	0.1933060	0.7841942	0.3593645	1.0697043
1000	0.9746649	0.0402029	0.4244967	0.7188993	0.5255960	0.4183343	0.2253651	0.7506483	0.3386756	0.9994307

0	1.0589753	0.0363004	0.3717608	0.7798222	0.6104201	0.4461810	0.1879489	0.8995813	0.4046263	0.9228718
50	1.0719623	0.0315404	0.2791444	0.8462933	0.5142318	0.3927374	0.1395813	0.9364069	0.4544404	0.6414183
100	1.0326140	0.0200162	0.2522985	0.8126552	0.5836905	0.2090979	0.2156702	0.7294350	0.6759068	0.2955887
150	1.0100191	0.0261254	0.1424205	0.7443724	0.5954459	0.1042003	0.2309970	0.5243770	0.9463717	0.1295447
200	1.0219026	0.0289885	0.1914211	0.7672572	0.6551712	0.0941208	0.3418487	0.4193684	0.8828319	0.0474646
250	1.0267936	0.0300495	0.2142425	0.8459148	0.6148550	0.0473429	0.4538086	0.3971675	0.8675256	0.0344977
300	0.9574861	0.0479530	0.1669598	0.8987864	0.8333342	0.0346856	0.5611471	0.3482644	0.9625852	0.0133313
350	0.9583793	0.0432514	0.1723143	0.8942992	0.8725945	0.0272494	0.6095096	0.3241520	1.0145375	0.0224654
400	0.9592618	0.0364525	0.1618345	0.9357172	0.7855855	0.0257050	0.5968132	0.3155248	0.9434136	0.0252737
450	1.1271258	0.0271845	0.1849625	0.8939695	0.7735763	0.0303620	0.5870813	0.4003831	1.0990439	0.0289849
500	1.1115623	0.0335037	0.1934302	0.8106702	0.8602887	0.0402187	0.6295243	0.3036658	1.0276740	0.0375051
550	1.1260781	0.0453783	0.2138551	0.8311260	0.8090457	0.1030083	0.5844622	0.2673191	1.0649818	0.4369509
