YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0654682	0.8765969	0.7157732	0.2681994	0.0809636	0.6024648	0.4946025	0.6062692	0.6485874	0.7700519
0.0601633	0.7461811	0.5216251	0.2179235	0.0987490	0.6270563	0.4122596	0.8531857	0.4136346	0.6624171
0.0504024	0.7653247	0.5838023	0.3701574	0.1975493	0.4959052	0.4628393	0.4627997	0.5522259	0.8047196
0.0528451	0.8303282	0.7057139	0.2437013	0.0249946	0.7084400	0.5041251	0.7224283	0.4557051	0.3600616
0.0400597	0.7131798	0.6792151	0.0081108	0.0894496	0.6733471	0.3862541	0.6921628	0.7134994	0.4997720
0.0953357	0.6832151	0.7468582	0.0741927	0.2222473	0.6463645	0.4320799	0.6922053	0.5814742	0.8512450
0.0111799	0.7393887	0.7986688	0.2063638	0.2562105	0.7345615	0.4980650	0.8008692	0.7364984	0.7420848
0.0345321	0.7522012	0.6038021	0.1039393	0.1273440	0.6639557	0.3883562	0.5452809	0.6044177	0.6231038
0.0971774	0.7876228	0.5360985	0.0035818	0.3769201	0.5375335	0.4036660	0.7886938	0.7066229	0.5351034
0.0269319	0.7114198	0.8012027	0.0328030	0.1690079	0.6765931	0.4286518	0.6175563	0.7287401	0.3680565
