YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.5083924	0.4448183	0.4538288	1.0206106	0.1264417	0.7113796	0.9137524	0.4533163	0.8839548	0.2065032
0.9798356	0.1814060	0.4864613	0.8932761	0.1030055	0.7199242	0.9337658	0.4727982	0.9497270	0.3182704
1.0205246	0.7489030	0.2490963	1.0671007	0.1415533	0.7057332	0.9129411	0.5837813	1.0240863	0.1160015
0.9470584	0.3529979	0.4731516	0.4654788	0.0709052	0.7617404	1.0506306	0.4497517	1.0057317	0.2229157
1.0427922	0.3898050	0.5712155	1.0256805	0.0555035	0.7246526	0.9887087	0.5085696	0.9752556	0.2151102
1.0126316	0.2875555	0.6835427	0.9927911	0.1776308	0.3622836	0.9245398	0.4998061	1.0242056	0.2198622
1.0679840	0.3278115	0.8098589	1.0368479	0.2123304	0.2992449	0.4677175	0.5516984	1.0215125	0.2900999
1.0690003	0.3820603	0.5466692	0.9785581	0.1013967	0.6941883	0.8747743	0.2591665	0.9452657	0.2426178
1.0581605	0.4338107	0.5311339	1.0979272	0.1256749	0.6912751	0.9185185	0.7004313	0.4657888	0.2092963
0.9703557	0.3891426	0.4823890	0.9851263	0.1368177	0.6719450	0.9460300	0.5196051	0.9541725	0.1451869
