YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0678000	0.6296924	1.0287590	1.0525604	0.2087680	0.4545204	0.0411544	0.9782400	0.0820608	1.0026632
0.1454209	0.3907524	1.0302764	0.9435096	0.2060687	0.4316553	0.0299411	0.9601545	0.1184987	0.9986059
0.1679875	0.6529678	0.5074350	1.0345401	0.2955689	0.5962400	0.0390155	1.0233475	0.1108574	0.9576257
0.1425315	0.6247648	0.9897690	0.4931718	0.2526751	0.5058763	0.0430447	0.9445204	0.0686518	0.9707954
0.1250880	0.7494823	0.9870139	0.9246388	0.1269080	0.5007167	0.0330129	1.0044818	0.1163755	1.0352790
0.1539340	0.7047885	0.9637143	1.0252298	0.0906176	0.2077828	0.0392611	1.0054137	0.0409783	0.9667098
0.1961312	0.7474905	1.0131936	1.0783805	0.3523448	0.7189477	0.0109237	0.9627153	0.2498559	1.0261458
0.1670734	0.3891428	0.9481932	0.9822999	0.1344715	0.3389806	0.1032399	0.4846961	0.0567673	1.0373829
0.1319720	0.6226741	0.9671374	1.0008710	0.2336264	0.4940029	0.0604566	0.7763447	0.0413181	0.9510096
0.5647900	0.5808419	1.0535129	1.0512534	0.2249367	0.3506040	0.0438913	0.7946447	0.1317377	0.5011566
