YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0898122	0.0954908	0.2408693	0.4971571	0.8620566	0.8738729	0.6112162	0.6985757	0.8311915	1.0000000
0.1037674	0.0477182	0.2406883	0.4968664	0.8631111	0.8801411	0.6355040	0.6985757	0.8311915	1.0000000
0.1191535	0.0571335	0.1203590	0.4969171	0.8629071	0.8789006	0.6305622	0.6985757	0.8311915	1.0000000
0.1052350	0.0486044	0.0639233	0.2484249	0.8631115	0.8800399	0.6350355	0.6985757	0.8311915	1.0000000
0.3034808	0.1864826	0.4072760	0.7026444	0.4300895	0.8631740	0.5740892	0.6985757	0.8311915	1.0000000
0.2054397	0.1129476	0.2789951	0.5434432	0.7166131	0.4358424	0.6031003	0.6985757	0.8311915	1.0000000
0.1854208	0.0994809	0.2501289	0.5084820	0.8265007	0.7095027	0.3046755	0.6985757	0.8311915	1.0000000
0.1794612	0.0953396	0.2402883	0.4960838	0.8663886	0.9016374	0.7408602	0.3493328	0.8311915	1.0000000
0.1793137	0.0952048	0.2399395	0.4956741	0.8674848	0.9074970	0.7736073	0.2697498	0.4155965	1.0000000
0.1787585	0.0947903	0.2389729	0.4945961	0.8704744	0.9246210	0.8933343	0.0513998	0.1162701	0.5000005
