YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.3457492	0.5120656	0.2285701	0.4189239	0.2522537	0.1753026	0.7222357	1.0116052	0.7193360	1.0425217
0.7801641	0.5142577	0.0779319	0.1087077	0.1316825	0.6375492	0.6045549	0.8959334	0.8212888	0.9555126
0.4543166	0.6350020	0.0445401	0.2875195	0.2301345	0.2670507	0.6949904	0.9798784	0.8470138	1.0013431
0.4495386	0.7129040	0.0816840	0.1151480	0.2040080	0.2096970	0.6916224	0.9046215	0.7950180	1.0251284
0.4638873	0.6938247	0.0867253	0.0658618	0.1285636	0.2497614	0.5642340	0.8698541	0.7408057	0.9821190
0.3624251	0.7456064	0.0596507	0.3117752	0.2033441	0.1459721	0.6503849	1.0297700	0.8689941	1.0699656
0.4841825	0.7324901	0.0827857	0.3744377	0.2555023	0.2542617	0.3080809	0.9026736	0.8451912	1.0132609
0.3978220	0.6739543	0.1563556	0.3509594	0.2129872	0.0515195	0.4814684	0.5471496	0.7992425	1.0377432
0.5508731	0.6300084	0.9654252	1.0035631	0.7155456	0.2404656	0.6190464	0.7324106	0.4071286	1.1602333
0.4775546	0.6830717	0.0977937	0.1452048	0.2274535	0.2709279	0.6620556	0.9581005	0.8945227	0.5637995
