YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.0000000	0.6455452	0.7919230	0.0356770	0.0670037	0.1597006	0.6856644	0.7523401	0.0958577	0.6017576
0.0578174	0.0000000	0.8600299	0.0347898	0.0903984	0.1419940	0.6709662	0.7472685	0.0608179	0.6249156
0.6892194	0.7378324	0.0000000	0.0802653	0.0841428	0.0955272	0.8451181	0.7914927	0.0550905	0.9935512
0.5279025	0.7680755	0.6830967	0.0000000	0.0524431	0.2287979	0.8189289	0.8484661	0.1233427	0.6967681
0.6174719	0.7543494	0.7687112	0.0502967	0.0000000	0.2361803	0.7941794	0.8932350	0.0428927	0.8361552
0.4834556	0.7987716	0.2200129	0.3024975	0.4858162	0.0000000	0.7638148	0.7548051	0.0803578	0.6742532
0.4993682	0.7446928	0.7443569	0.0689239	0.0787812	0.7130409	0.0000000	0.7065366	0.1136187	0.8079525
0.5822780	0.6801992	0.7732163	0.0585811	0.1001643	0.1283628	0.7113801	0.0000000	0.0784165	0.8208957
0.5080219	0.6820588	0.7932687	0.0516456	0.0991730	0.1487478	0.7996799	0.8016973	0.0000000	0.6879306
0.4088459	0.6559684	0.8328589	0.0684107	0.1288983	0.0988707	0.6854604	0.7519974	0.8816439	0.0000000
