YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.3688027	0.0648796	0.3073588	0.6078296	0.5729486	0.0042171	0.7690237	0.8770615	0.5269575	0.4258034
0.0045955	0.0200236	0.3294027	0.6315097	0.8540386	0.0095642	0.7910599	0.7776181	0.8320777	0.5008269
0.3201238	0.3442856	0.2464273	0.8983600	0.4904912	0.0027713	0.6124601	0.6966905	0.5501043	0.5875665
0.0774195	0.0480711	0.2867721	0.6528686	0.8310645	0.0037358	0.7283147	0.5475889	0.4258099	0.6881875
0.0010389	0.0057838	0.2771146	0.6216591	0.6555967	0.0077335	0.6982937	0.7053992	0.4837886	0.5805985
0.0203221	0.0264520	0.4608989	0.4398364	0.7593007	0.0183795	0.7665437	0.8250000	0.6504557	0.1447881
0.1037441	0.0118907	0.2608139	0.5464273	0.6435146	0.0027912	0.7171758	0.6317587	0.5130377	0.4959041
0.2547730	0.0074361	0.2525211	0.6540161	0.7843252	0.0212756	0.6594971	0.9342531	0.4267092	0.4792289
0.3202196	0.1903127	0.2408948	0.8474994	0.7288158	0.0055910	0.7557970	0.6523373	0.4230350	0.5497508
0.4366264	0.2769197	0.2571223	0.7898157	0.6190512	0.0121889	0.6941383	0.7724923	0.4090849	0.4946987
