YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.6738378	0.2465663	0.8138827	0.2109875	0.5491008	0.3914869	0.5006787	0.7377047	0.0823199	1.0000000
0.4348294	0.1549057	0.7256609	0.3011335	0.4045401	0.4742407	0.4796481	0.9501760	0.1573358	0.4781056
0.4048636	0.1510773	0.8126091	0.3108594	0.3089406	0.3514909	0.5064343	0.9850636	0.0823454	0.9995586
0.4924228	0.2123243	0.9485081	0.2409217	0.5139014	0.8374452	0.6927487	0.9986784	0.0230794	1.0000000
0.5869362	0.3072374	0.8955307	0.0634509	0.5998464	0.3434453	0.4659521	0.9105390	0.0907808	0.8758335
0.3887446	0.1342448	0.8511835	0.3340571	0.3806781	0.4884428	0.5200886	0.9810681	0.0933832	0.8447687
0.4954542	0.6393317	0.8461793	0.2348156	0.4618529	0.2413388	0.4207428	0.9980429	0.0283335	1.0000000
0.5866567	0.4487238	0.9611781	0.2296361	0.3706680	0.4270974	0.5146565	0.6181106	0.0695889	0.6568081
0.4914344	0.3415046	0.9669016	0.2331503	0.3485521	0.1374149	0.3761354	0.9196124	0.0258173	0.9796938
0.4855712	0.1710424	0.9506903	0.2236815	0.3734221	0.2240850	0.3868804	0.9928014	0.0560417	0.8128532
