YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.5016308	0.9996296	0.9623716	0.2125459	0.1192174	1.0072877	0.6631945	0.5319457	0.5298868	0.6490875
1.0960040	0.4958575	0.9462229	0.2569671	0.0886622	1.0445237	0.7827506	0.5147371	0.5325344	0.6673890
0.9236320	0.9797526	0.5684888	0.1987647	0.1504271	0.9542716	0.6297938	0.6774520	0.3941136	0.7741772
1.0071163	0.9358552	0.9108862	0.1125324	0.0523438	1.0463146	0.7406261	0.4822642	0.7670418	0.5450945
0.9366459	0.9909309	1.0213575	0.2598127	0.0606726	0.9866657	0.6236813	0.5909614	0.4640364	0.6488442
0.9411314	1.0447998	1.0839265	0.2394499	0.0664957	0.5322545	0.7913834	0.5769925	0.4181994	0.7733889
1.0538747	0.9833157	1.0444575	0.2445442	0.0723903	0.9790193	0.3894033	0.5580514	0.5937539	0.6380072
1.0520665	0.9744069	0.9897112	0.2477660	0.0758222	0.9174453	0.9472921	0.2499923	0.5585731	0.6527635
1.0432307	1.0454821	1.0480993	0.2301017	0.3238809	1.0015915	0.6413479	0.6292637	0.2460884	0.6343578
1.0917993	1.0394827	1.0162888	0.4894547	0.0254549	0.9634841	0.9281264	0.4081589	0.9280920	0.3706839
