"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.2138785	0.4047828	0.3914239	1.0041283	0.5185259	0.9852395	0.9362880	0.4388568	0.1584477	0.9815191
50	0.2216214	0.4332681	0.5037401	0.8113409	0.4937308	1.0884975	0.9583484	0.3859181	0.1056508	1.0349523
100	0.1955036	0.3923419	0.5421105	0.7410440	0.5226624	0.9564164	0.8833594	0.2198045	0.0678240	1.0261523
150	0.2244270	0.3707679	0.5554573	0.6813565	0.4401742	0.7346823	0.6103905	0.0814346	0.0256046	0.9827661
200	0.2318093	0.3542700	0.6567795	0.6148993	0.4400422	0.5429767	0.2880589	0.0496840	0.0152850	0.9703746
250	0.2153934	0.4566176	0.6844271	0.5820961	0.3299872	0.1929375	0.1700954	0.0176652	0.0053372	1.0056803
300	0.2038322	0.3537339	0.7408497	0.6213528	0.2292045	0.0875768	0.0893127	0.0060206	0.0035438	1.0431974
350	0.1829145	0.3377624	0.7937579	0.5962129	0.0840364	0.0168667	0.0678007	0.0048894	0.0053903	0.9968828
400	0.2240067	0.3173959	0.7222019	0.5932063	0.0309492	0.0045215	0.0588244	0.0069962	0.0018257	0.9708579
450	0.2485085	0.3635409	0.8178703	0.5985593	0.0243674	0.0080273	0.0555083	0.0005426	0.0070506	0.9621819
500	0.2443505	0.3300394	0.8495305	0.6308743	0.0228523	0.0063795	0.0199903	0.0020229	0.0163218	0.9810904
550	0.2197608	0.2953098	0.7407260	0.6839144	0.0239914	0.0032083	0.0187133	0.0034724	0.0560981	0.9885903
600	0.2145604	0.3584504	0.7805194	0.7695202	0.0334490	0.0010511	0.0293629	0.0172126	0.1036061	0.9304836
650	0.2256938	0.3358984	0.6753488	0.7847801	0.0386442	0.0113240	0.0248906	0.0897827	0.1969448	0.9552873
700	0.2444401	0.3710076	0.5798248	0.8976911	0.0378975	0.0701768	0.1622874	0.2218676	0.2094450	0.9604529
750	0.2354226	0.4155167	0.5729226	0.9173857	0.0446473	0.4696792	0.5443271	0.3973042	0.2566205	0.9475518
800	0.1793649	0.3934160	0.5435617	0.9936729	0.2351299	0.8580114	0.8407908	0.5644126	0.2510015	0.9677233
850	0.1884089	0.4007560	0.5255720	0.8875738	0.3615570	0.9656489	0.9827638	0.6034389	0.2471788	0.9550053
900	0.2170919	0.4314330	0.5046678	1.0432366	0.4142009	1.0133062	0.9888661	0.5751868	0.2125018	0.9397028
950	0.2214988	0.3999923	0.5087731	1.0417520	0.4405161	0.9440671	0.9497943	0.4776926	0.2105414	0.9398629
1000	0.1867972	0.4217270	0.4517113	0.9774004	0.4463741	0.8616934	0.9791383	0.5017121	0.1981723	0.9325879

0	0.2138785	0.4047828	0.3914239	1.0041283	0.5185259	0.9852395	0.9362880	0.4388568	0.1584477	0.9815191
50	0.1797962	0.3746247	0.3905427	0.9011621	0.6129822	0.9758425	0.9695765	0.4357004	0.1715201	1.0341770
100	0.2337440	0.2034993	0.4558726	0.7405594	0.5174444	0.9647703	0.8910690	0.3343329	0.1307797	1.0020365
150	0.2251908	0.2098536	0.5574797	0.6803411	0.5109812	0.9730925	0.9699717	0.1886280	0.1556893	0.9882403
200	0.2633419	0.1760227	0.5670474	0.6016298	0.5489995	0.9695777	0.7241045	0.1275037	0.2148829	0.8792989
250	0.2445181	0.1753131	0.6335123	0.6021765	0.4646892	0.7991656	0.6329274	0.0873490	0.3049812	0.8951131
300	0.1993145	0.1877259	0.8445063	0.6081504	0.3824059	0.7328258	0.5046574	0.1425608	0.3005325	0.9392917
350	0.2242354	0.1520442	0.7222230	0.6101970	0.3642781	0.7492157	0.6128413	0.1839315	0.2895787	1.0341909
400	0.1965058	0.1602386	0.6918224	0.6817801	0.3448661	0.9355135	0.6322319	0.1499187	0.2569291	1.0892416
450	0.1843735	0.1632759	0.6336387	0.6948101	0.4420079	0.8240539	0.6318056	0.1087502	0.1941082	1.0783499
500	0.1962840	0.1847671	0.6400754	0.6486605	0.4430426	0.6562857	0.5174829	0.1190774	0.2100276	1.0093883
550	0.2060971	0.2903718	0.6859634	0.7245905	0.4092133	0.5605041	0.3410694	0.0984196	0.1792433	1.0275646
600	0.2141417	0.2983703	0.6908512	0.8241587	0.3487916	0.4299207	0.1610358	0.1392768	0.1889157	1.0898728
650	0.1867087	0.3161673	0.6605906	0.9821943	0.2781951	0.4083585	0.3151403	0.2003214	0.1669322	1.0358688
700	0.1758517	0.3671205	0.5045353	1.0421518	0.2996840	0.6578563	0.4834990	0.2148656	0.1718097	1.0065292
750	0.2130860	0.3968743	0.4486551	1.0247742	0.3146756	0.7786372	0.6060974	0.3152974	0.1535804	0.9075936
800	0.2120464	0.3952906	0.4496657	1.0246676	0.4020426	0.7717773	0.8009872	0.4150261	0.1847911	0.9750735
850	0.1985771	0.3826285	0.4772652	1.0515227	0.4681883	0.9510076	0.9209685	0.3153444	0.1487041	0.9576311
900	0.2862130	0.4555875	0.4431880	0.9408611	0.4729906	0.8610707	1.0274587	0.2959012	0.1507041	0.8917964
950	0.2678134	0.4126540	0.4705985	0.9864390	0.5220422	1.0619050	0.9837282	0.3131270	0.1594592	0.9650160
1000	0.2795546	0.3535677	0.4250450	1.0640776	0.5763922	1.0285351	0.9502686	0.4440742	0.1726190	1.0275209

0	0.2138785	0.4047828	0.3914239	1.0041283	0.5185259	0.9852395	0.9362880	0.4388568	0.1584477	0.9815191
50	0.2247917	0.4455875	0.4611949	0.9671173	0.5451687	0.9800446	0.9841565	0.3764123	0.1516770	1.0053598
100	0.2265480	0.3351185	0.4682628	0.9483216	0.5507910	1.0574859	0.9768921	0.2453046	0.0761470	0.9574577
150	0.2508659	0.2592758	0.5110295	0.9271214	0.5289282	0.9701769	0.8167910	0.1093518	0.0400210	0.9826735
200	0.1940500	0.2867707	0.5359828	0.9434902	0.5624464	0.8605235	0.4328059	0.0240013	0.0216372	0.9210866
250	0.1973194	0.2672664	0.5704651	0.9551920	0.4759147	0.4018438	0.2037850	0.0055553	0.0199231	0.9223373
300	0.2311610	0.2549233	0.5816185	0.9136542	0.3298699	0.2290958	0.1004786	0.0029153	0.0225183	1.0109619
350	0.2283973	0.2427102	0.5146108	0.9226019	0.2364106	0.2493717	0.0745928	0.0042953	0.0250540	0.9820696
400	0.1779443	0.1918412	0.4688267	0.9978640	0.1761407	0.2492072	0.0539532	0.0047708	0.0170172	1.0161795
450	0.1984067	0.2537615	0.4391988	0.9974888	0.1270940	0.2527920	0.0494809	0.0029592	0.0091693	1.0009609
500	0.2533719	0.3217870	0.4013245	1.0047258	0.1149046	0.2191252	0.0377115	0.0011750	0.0016212	1.0038515
550	0.2687241	0.3793996	0.3603566	1.0895879	0.1199078	0.0689205	0.0417538	0.0074390	0.0636369	1.0707642
600	0.2496246	0.4592871	0.3668623	1.0390003	0.0562539	0.0139521	0.0510075	0.0117473	0.1021296	0.9899201
650	0.2185577	0.4977983	0.4812033	0.9785966	0.0194098	0.0172001	0.0658304	0.1397662	0.1676700	0.8903202
700	0.2369635	0.5285062	0.4974187	0.9328021	0.0250020	0.2685851	0.3654695	0.3606149	0.1605665	1.0029113
750	0.2743636	0.3994968	0.5605037	0.9332236	0.1162532	0.7096107	0.7036423	0.4950074	0.1781733	0.9888617
800	0.2025103	0.4963890	0.5050586	0.9851727	0.2691727	1.0835510	0.8331030	0.4388533	0.1705130	0.8658607
850	0.2062502	0.4950060	0.4696072	1.0055558	0.4639933	1.0309844	0.9190121	0.3801776	0.1445906	0.9611097
900	0.2387488	0.3977282	0.4823296	0.9631244	0.4444367	0.9151989	0.9840557	0.3530103	0.1391854	0.9924840
950	0.2290379	0.4524936	0.4723873	0.9452170	0.4487200	0.9463322	1.0028090	0.2757788	0.1286987	0.9792676
1000	0.2749086	0.4573878	0.4697553	1.0160768	0.4382202	0.9602464	0.9566705	0.2953145	0.1711887	1.0500154

0	0.2138785	0.4047828	0.3914239	1.0041283	0.5185259	0.9852395	0.9362880	0.4388568	0.1584477	0.9815191
50	0.1800150	0.4253038	0.4533403	0.8878715	0.6366339	1.0225893	1.0664394	0.5379569	0.2219167	0.9400219
100	0.1870245	0.4565280	0.5062673	0.9268468	0.8777764	0.8571794	1.0094591	0.5704196	0.2071265	0.9686245
150	0.2065174	0.4566317	0.5033883	0.8880912	0.9164918	0.9126534	0.9308969	0.5699167	0.2345357	1.0390354
200	0.2436924	0.4487329	0.4904741	0.6955844	1.0382484	1.0196941	0.8847259	0.5988652	0.2487791	1.0841208
250	0.2038975	0.3835639	0.6574645	0.6060678	1.1201364	1.1043208	1.0327173	0.5178406	0.2578345	1.0210475
300	0.1960045	0.4087063	0.7413398	0.5014929	0.9760884	0.9669391	1.0282909	0.6816481	0.2561542	0.9353765
350	0.2003333	0.3634952	0.7667340	0.3792718	1.0076399	1.0588329	1.0332217	0.6151819	0.2200662	0.9691075
400	0.2513584	0.3878471	0.8398666	0.4274564	1.0651398	0.9671675	1.0511828	0.5677546	0.3003591	0.9643858
450	0.2626250	0.3079756	0.9540825	0.4050580	0.9684103	0.9186345	1.0015313	0.5809715	0.3095636	1.0953845
