YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0364677	0.0003466	0.5426900	0.3436001	0.5395084	0.7910698	0.0527532	0.2855171	0.4523418	0.2727560
0.1133456	0.0016481	0.5452025	0.3399711	0.6157585	0.7723357	0.0445642	0.2979454	0.3790455	0.3319095
0.2322789	0.0293476	0.3158082	0.3174988	0.6155465	0.8389717	0.1141163	0.2476134	0.6338347	0.5310676
0.0931800	0.0084280	0.8356874	0.2248106	0.5397447	0.6763218	0.0530583	0.3703073	0.4344991	0.3219885
0.6415686	0.5308463	0.1320091	0.7213312	0.4211917	0.6991323	0.0669714	0.2820016	0.6652072	0.7752595
0.0849459	0.0168938	0.5946501	0.3902536	0.5041174	0.2953447	0.0500063	0.3319012	0.3979931	0.2702222
0.0834870	0.0044218	0.5210811	0.2574240	0.7198600	0.6756085	0.0330318	0.2598616	0.6358380	0.2952447
0.1214091	0.0004412	0.7266246	0.3029913	0.6903698	0.8139675	0.1050906	0.1620302	0.4151091	0.2665711
0.0918046	0.0014826	0.4581188	0.4713419	0.5100253	0.5735182	0.0629803	0.3756554	0.2577359	0.3538470
0.0596454	0.0020953	0.6371320	0.3518899	0.4110787	0.6681897	0.0838681	0.5077362	0.2987629	0.2394626
